,id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name
1711,1cd6d32e-78c4-4549-b4df-93edb57a3d59,"A 7-year-old boy, Manoj underwent successful chemotherapy and cranial radiation for the treatment of acute lymphocytic leukemia. One month after the completion of therapy, the patient presented with excessive thirst and urination plus hypernatremia. Laboratory testing revealed pituitary diabetes insipidus. To corect these problems, this patient is likely to be treated with:",Coicotropin,Desmopressin,hCG,Menotropins,1,single,(Ref: KDT 6/e p57) Drugs used for the treatment of central (pituitary) diabetes insipidus are: - Desmopressin (selective V2 agonist) - Thiazides - Chlorpropamide - Carbamazepine Drugs used for the treatment of nephrogenic (renal) diabetes insipidus are: - Thiazides - Amiloride (for lithium induced) Thiazides are useful for the treatment of both central as well as nephrogenic diabetes insipidus. Desmopressin is not effective in nephrogenic diabetes insipidus.,Anatomy,Other topics and Adverse effects
2026,dfe3c09d-5b5e-41a9-be50-cb272175c9e6,A 40 year old presenting with dizziness on standing with systolic reduction of BP of 50mm Hg; appropriate treatment,Graded compression stockings,Salbutamol,Fludrocoisone,b-blockers,0,single,Graduated compression stockings (GCS) help prevent the formation of blood clots in the legs by applying varying amounts of pressure to different pas of the leg. Thigh or waist-high stockings help reduce pooling of blood in the legs and help prevent lightheadedness or falling when you stand up (ohostatic hypotension). Stockings that rise to just below the knee help limit lower leg swelling due to fluid buildup Ref Davidson 23rd edition pg 450,Medicine,C.V.S
2145,67b9dd5a-cc76-4ca3-b129-4b2a9dc05a4c,All of the following drugs are useful in the treatment of a patient with acute bronchial asthma except,Ipratropium,Salbutamol,Montelukast,Hydrocortisone,2,multi,,Medicine,
2165,5820af2b-4075-4cb0-8ef7-d868f487391f,"A 6 year old female patient complains of pain due to a decayed lower right 2nd molar. During the treatment, patient becomes uncooperative and throws a tantrum. The dentist then asks the mother to step out of the operatory, after which the child begins to cooperate. The example demonstrated by the dentist falls under which type of conditioning, as described by Skinner?",Positive reinforcement,Negative reinforcement,Omission,Punishment,2,multi,"Omission (also called time-out), involves removal of a pleasant stimulus after a particular response. For example, if a child who throws a temper tantrum has his favorite toy taken away for a short time as a consequence of this behavior, the probability of similar misbehavior is decreased.",Dental,
2582,2d48cae1-1034-49c4-ac7f-c149443edd6d,A male patient 56 year old complains of swelling in legs. He is a known case of hypertension and is under treatment. On general physical examination pitting oedema is seen on legs and TSH level 3mU/L. Which of the following is not a cause of this condition?,Increase in hydrostatic pressure,Decreased colloid osmotic pressure,Due to lymphatic obstruction,Myxedema,3,single,"Most leg swelling is caused by oedema, the accumulation of ﬂuid within the interstitial space. Unilateral swelling usually indicates a localised pathology in either the venous or the lymphatic system, while bilateral oedema often represents generalised ﬂuid overload combined with the effects of gravity. However, all causes of unilateral leg swelling may present bilaterally, and generalised ﬂuid overload may present with asymmetrical (and therefore apparently unilateral) oedema. Fluid overload may be the result of cardiac failure, pulmonary hypertension (even in the absence of right ventricular failure), renal failure, hypoalbuminaemia or drugs (calcium channel blockers, glucocorticoids, mineralocorticoids, non-steroidal anti-inﬂammatory drugs (NSAIDs) and others).
 Approximately 60% of lean body weight is water, two-thirds of which is intracellular. Most of the remaining water is found in extracellular compartments in the form of interstitial fluid; only 5% of the body’s water is in blood plasma. As noted earlier, edema is an accumulation of interstitial fluid within tissues. 

Increase in hydrostatic pressure are mainly caused by disorders that impair venous return. Local increases in intravascular pressure caused, for example, by deep venous thrombosis in the lower extremity can cause edema restricted to the distal portion of the affected leg.
Reduction of plasma albumin concentrations leads to decreased colloidal osmotic pressure of the blood and loss of fluid from the circulation.
Edema may result from lymphatic obstruction that compromises resorption of fluid from interstitial spaces.

 
Reference:Davidson’s Internal Medicine 23rd edition, page no.186",Pathology,
2640,ffeefa0f-de35-453f-84ea-6873d9cec9bb,Which one of the following is the treatment of choice in a child with inguinal hernia,Bassini's repair,Shouldice repair,Herniotomy alone,Lichtenstein reapir,2,single,,Surgery,
2650,36d41b07-8c5a-4823-85f3-f3b9bc433ee1,A 60 year old male was diagnosed as carcinoma right lung. On CECT chest there was a tumor of 5 ✕ 5 cm in upper lobe and another 2 ✕ 2 cm size tumor nodule in middle lobe. The primary modality of treatment is -,Radiotherapy,Chemotherapy,Surgery,Supportive treatment,2,single,,Surgery,
2677,a548535f-9998-402b-92f7-dd94627040e6,A 66-year-old man with obstructive jaundice is found on ERCP to have periampullary carcinoma. He is otherwise in excellent physical shape and there is no evidence of metastasis. What is the most appropriate treatment?,Radical excision (Whipple procedure) where possible,Local excision and radiotherapy,External radiotherapy,Internal radiation seeds via catheter,0,single,"Carcinoma of the head of the pancreas is treated with radical excision of the head of the pancreas along with the duodenum. Continuity of the biliary and GI tract is established by performing hepaticojejunostomy, pancreaticojejunostomy, and gastrojejunostomy (Figure below). The 5-year survival rate is higher for periampullary carcinoma (30%) than that for pancreatic head lesions (10%). Most centers do not give irradiation routinely before or after surgery, because pancreatic cancers do not respond well to radiotherapy. Endoscopically placed stents alone are used only in palliative circumstances in patients with limited life expectancy.Pancreaticoduodenectomy (Whipple procedure). A: Preoperative anatomic relationships showing a tumor in the head of the pancreas. B: Postoperative reconstruction showing pancreatic, biliary, and gastric anastomoses. A cholecystectomy and bilateral truncal vagotomy are also part of the procedure. In many cases, the distal stomach and pylorus can be preserved, and vagotomy is then unnecessary",Surgery,Pancreas
2933,9309b256-ce0c-4567-b8a9-98b29e161a19,"A 55 year old diabetic man is brought to the emergency room in an unresponsive state. The following laboratory values are obtained: PCO2 19 mm Hg, HCO3 11 mEq/L, and pH 6.9. The most appropriate immediate treatment of this patient is ?",Administration of an oral hypoglycemic agent,Administration of bicarbonate,Administration of insulin,Close observation only,2,single,"This patient is in a diabetic ketoacidotic coma. The goals in treating such a patient are to increase the rate of glucose utilization by insulin-dependent tissues, to reverse ketonemia and acidosis, and to replenish fluid imbalances. Oral hypoglycemic agents are commonly prescribed for the maintenance of NIDDM patients and would not be appropriate in an acute setting. Treatment with bicarbonate would result in only a transient elevation of pH. Since this is a life-threatening condition, monitoring the patient without treatment is unacceptable. Ref: D'Alessio D. (2011). Chapter 43. Endocrine Pancreas and Pharmacotherapy of Diabetes Mellitus and Hypoglycemia. In B.C. Knollmann (Ed), Goodman & Gilman's The Pharmacological Basis of Therapeutics, 12e.",Pharmacology,
3214,6887c803-6a1b-4bb6-80c1-4e4e53c56d79,The drug used for leishmaniasis treatment,Pyrimethamine,Albendazole,Sodium stibogluconate,Tinidazole,2,single,"Sodium stibogluconate, is drug of choice in leishmaniasis. Meglumine antimoniate, Pentamidine, Amphotericin B, Miltefosine, Paromomycin are alternative drugs Basic and clinical pharmacology Katzung 13th edition pg 902",Pharmacology,Chemotherapy
3263,90d55422-6805-4138-8797-a067a745729b,"A 54-year-old man is brought to the emergency after experiencing several syncopal episodes. The patient states that he is currently taking erythromycin for treatment of bronchitis and another medication for treatment of gastroesophageal reflux disease (GERD). If an electrocardiogram reveals torsades de pointes, the patient is most likely taking which of the following medications for treatment of his reflux disease?",Cisapride,Famotidine,Lansoprazole,Metoclopramide,0,single,"This question is about an impoant drug interaction occurring between erythromycin and cisapride (used for gastroesophageal reflux disease- GERD). Serious cardiac arrhythmias, including torsades de pointes, QT interval prolongation, ventricular tachycardia, and ventricular fibrillation, have been repoed in patients taking cisapride with medications that inhibit cytochrome P450 3A4. Examples of medications other than cisapride that have a similar interaction with erythromycin include ketoconazole, fluconazole, clarithromycin, nefazodone, and indinavir. It is impoant to note that QT prolongation, torsades de pointes, cardiac arrest, and sudden death have occurred in patients taking only cisapride. None of the other agents listed interact with erythromycin to produce these proarrhythmic effects. Famotidine is an H2 receptor antagonist used in the treatment of GERD and gastric ulcers; this agent is generally well tolerated with very little incidence of drug interactions. Lansoprazole is a proton pump inhibitor indicated for the treatment of gastric ulcerations and GERD. When this agent is administered with phenytoin, the clearance of phenytoin is decreased by 15%, leading to an extension of the therapeutic effect. Metoclopramide is a prokinetic agent indicated for the treatment of GERD and diabetic gastroparesis. When given with cyclosporine, the toxic effects of cyclosporine are more pronounced. Fuhermore, when metoclopramide is administered with levodopa, it decreases the effectiveness of levodopa.",Pharmacology,
3571,960f67e6-cd35-43c6-bf3b-44ba3785af10,"A patient aged 63 years, is diagnosed to have severe aplastic anemia. HLA compatible sibling is available. The best option of treatment is :",Anti-thymocyte globulin followed by cyclosporine,A conventional bone marrow transplantation from the HLA identical sibling,A non-myeloablative bone marrow transplantation from the HLA identical sibling,Cyclosporine,0,multi,"Answer is A (Antithymocyte globulin followed by cyclosporine) Tor adults over age 50 years or those without HLA matched siblings, the treatment of choice for severe Aplastic anemia is immunosupression with antithymocyte globulin (A TG) plus Cvclosporine'",Medicine,
3585,4675b934-a3b4-4e43-a644-8a3e1d414aea,"Accidental from a needle stick, an unknown quantity of blood from an AIDS patient is injected into a nurse, lab reports of the patient show CD4 count 20/microL and a viral RNA load of more than 10^7copies/ml. What action should be taken regarding the treatment of the nurse",Monitor the nurse's blood to determine whether HIV transmission has occurred or not.,Treat with full doses of zidovudine for 2weeks.,Add acyclovir to the 4weeks zidovudine regimen,Administer zidovudine with lamivudine for 4weeks.,3,single,,Pharmacology,
3603,8980a262-df85-4c2a-a508-c8975cb3dcdf,In a patient with compensated liver cirrhosis presented with history of variceal bleed. The treatment of choice in this patient is -,Propranolol,Liver transplantation,TIPS (Transjugular intrahepatic poal shunt),Endoscopic sclerotherapy,3,single,"When a cirrhotic patient presents with upper GI bleed, the single most impoant diagnostic as well as therapeutic procedure to be performed is endoscopy (although after intravenous fluid resuscitation and correction of coagulation abnormalities) If varices are found they are treated by either Endoscopic variceal ligation or Endoscopic Sclerotherapy Endoscopic variceal ligation is now the t/t of choice (has replaced sclerotherapy) Ref : Schwaz 9/e p1113",Anatomy,G.I.T
3661,4948ade6-689f-4089-88b0-84ad2c3e878b,A 40-year-old patient is suffering from carotid body tumor. Which of the following is the best treatment for him?,Excision of tumor,Radiotherapy,Chemotherapy,Carotid aery ligation both proximal and distal to the tumor,0,multi,"Best treatment for a 40-year-old patient who is suffering from carotid body tumor is excision of tumor. CAROTID BODY TUMOR TREATMENT Because these tumors rarely metastasizeQand their overall rate of growth is slow, the need for surgical removal must be considered carefully as complication of surgery are potentially serious. Operation is best avoided in elderly patientsQ. Preoperative embolization is performed for tumors >3 cm. Tumors >5 cm are associated with a need for concurrent carotid aery replacement.",Surgery,Neck
3665,281a7260-b0ee-4e90-9e0b-88bd05fb693c,"A 28 year old woman, suffers from emotional liability and depression, about 10 days prior to her menses. She repos that once she begins to bleed, she feels back to normal. She also gives a history of premenstrual fatigue, bloating and breast tenderness. What would be the best treatment for the patient?",Evening primrose oil,Vitamin B6,Fluoxetine,Progesterone,2,single,"Fluoxetine is a selective serotonin Reuptake Inhibitor (SSRI) and SSRIs have shown the greatest efficiency in PMS treatment. Premenstrual syndrome (PMS), also called Premenstrual Tension (PMT), is a symptom complex, recognised primarily by cyclic changes, associated with ovulatory cycles. It occurs 7 to 14 days prior to menstruation and spontaneously resolves after menses. It always occurs in the luteal phase of the cycle. Symptoms include: Pain: Headache, breastpain, abdominal cramps, muscle stiffness, backache and generalise body ache. Water retention: Breast volume increase, bloating and weight gain. Behavioural changes: Low performance, difficulty in concentration, irritability, depression, forgetfulness, low judgement, anxiety, loneliness, feeling like crying, hostility, increased appetite and cravings and sleeplessness. Autonomic changes: Dizziness, faintness, nausea, vomiting and hot flushes Treatment: Psychosomatic symptoms: SSRIs, Vitamin B1, B6 and E Breast pain: Danazol, Bromocriptine and GnRH analogues Pelvic pain and bloatedness: OCP and Mirena IUCD General measures: Excercise, relaxation and hobbies like Meditation and Yoga Ref: Shaw&;s textbook of Gynaecology 17th edition PGno: 127",Gynaecology & Obstetrics,Disorders of menstruation
3784,661fc876-212c-42ba-a914-007b8ae89639,"In multibacillary leprosy, the follow-up examination after adequate treatment should be done yearly for –",3 years,3 years,5 years,10 years,2,single,"Surveillance after treatment


Clinical surveillance of cases after completion of treatment is an important part of the current recommendations for multidrug therapy.
It is essential for the assurance of the long-term success of treatment and for the early detection of any relapses.
The recommendations are -

i) Paucibacillary leprosy → clinical examination at least once a year for a minimum period of 2 years after completion of treatment.
ii) Multibacillary leprosy → clinical examination at least once a year for a minimum period of 5 years after completion of treatment.",Dental,
3828,92b988d8-0f38-4df8-ac58-1f44f8386461,40-year-old male presents with fever and abdominal pain and diagnosed with HIV and TB. How will you give treatment?,ATT and AIDS treatment simultaneously,First ATT and then A,ATT only,First A and then ATT,1,single,"If a patient is diagnosed with HIV & TB, treatment for TB should be given first, to decrease bacterial load in the body & decrease chances of immune reconstitution inflammatory syndrome. Then, treatment of HIV should be given.",Medicine,FMGE 2019
4213,d38cc733-3035-4957-b5bc-a8b724c4757c,Which of the following congenital malformation is seen in a child of a mother who is on treatment with oral anticoagulants -,Craniofacial malformations,Renal agenesis,Long bone defects,All,0,multi,"Ans. is 'a' i.e., Craniofacial malformations o ""Administration of warfarin (Oral anticoagulants) during pregnancy causes syndrome characterized by 1. Nasal hypoplasia (Craniofacial malformation) 2. Stippled epiphyseal calcifications that resemble chondrodysplasia punctata.""",Pediatrics,
4512,f2852a59-4dbd-4568-bccb-26706fe4e82c,A 40 year old patient is suffering from carotid body tumor. Which of the following is the best choice of treatment for him?,Excision of tumor,Radiotherapy,Chemotherapy,Carotid aery ligation both proximal and distal to the tumor,0,multi,"Ans. is 'a' i.e., Excision of tumour",Surgery,
4838,8b64aecd-0d6a-41b0-91ae-0c008bb1d22b,"The ideal treatment for fracture of the angle of
mandible is",Transosseous wiring,Intermaxillary fixation,Plating on the Lateral side of the body of the mandible,Plating at the inferior border of the mandible,3,single,,Surgery,
5010,01dcc307-a222-4eb0-87b3-34dc9992b44b,"This drug has activity against many strains of P. aeruginosa. However, when it is used alone, resistance has emerged during the course of treatment. The drug should not be used in penicillin-allergic patients. Its activity against gram-negative rods is enhanced if it is given in combination with tazobactam. Which of the following drugs is being described?",Amoxicillin,Aztreonam,Piperacillin,Vancomycin,2,multi,"Antipseudomonal penicillins: Piperacillin and Ticarcillin are called antipseudomonal penicillins because of their activity against Pseudomonas aeruginosa. Piperacillin and Ticarcillin are effective against many gram-negative bacilli But not against Klebsiella because of its constitutive penicillinase. Formulation of ticarcillin or piperacillin with clavulanic acid or tazobactam, respectively, extends the antimicrobial spectrum of these antibiotics to include penicillinase-producing organisms.",Pharmacology,Cell Wall Synthesis Inhibitors
5219,5f892117-3e89-4f00-b541-b00b4eefc67c,"A 40-year-old woman who is a known case of anxiety disorder and has prominent symptoms of frontal headache is being treated with a procedure in which the tension in the frontalis muscle is measured regularly. The readings are projected on to a computer screen, which patient can see. She is then taught to use mental techniques to decrease tension in this muscle. Which of the following treatment techniques does this example illustrate?",Implosion,Biofeedback,Aversive conditioning,Flooding,1,single,"The treatment technique described here is biofeedback. In this treatment, the patient is being given ongoing physiological information, in this case the muscle tension in the frontalis muscle. With the help of his feedback, she learns to use mental techniques to control the tension and keep her muscles in a relaxed state.",Psychiatry,"Neurotic, Stress Related and Somatoform Disorders"
5235,eacec070-a402-4eb3-845e-8452e0ee972d,"A 40-year-old man without a significant medical history comes to the emergency room with a 3-day history of fever and shaking chills, and a 15-minute episode of rigor. He also reports a cough productive of yellow-green sputum, anorexia, and the development of right-sided pleuritic chest pain. Shortness of breath has been present for the past 12 hours. Chest x-ray reveals a consolidated right middle lobe infiltrate, and CBC shows an elevated neutrophil count with many band forms present. Which feature would most strongly support inpatient admission and IV antibiotic treatment for this patient?",Recent exposure to a family member with influenza,Respiratory rate of 36/min,Recent sexual exposure to an HIV-positive patient,Purulent sputum with gram-positive diplococci on Gram stain,1,single,"Because of the development of effective oral antibiotics (respiratory fluoroquinolones, extended spectrum macrolides), many patients with community-acquired pneumonia (CAP) can be managed as an outpatient as long as compliance and close follow-up are assured. The CURB-65 score is a validated instrument for determining if inpatient admission (either observation or full admission) is indicated. Factors predicting increased severity of infection include confusion, urea above 19 mg/dL, respiratory rate above 30, BP below 90 systolic (or 60 diastolic), and age 65 or above. If more than one of these factors is present, hospitalization should be considered.This patient's presentation (lobar pneumonia, pleuritic pain, purulent sputum) suggests pneumococcal pneumonia. The pneumococcus is the commonest organism isolated from patients with CAP. Fortunately, Spneumoniae is almost always sensitive to oral antibiotics such as clarithromycin/azithromycin and the respiratory fluoroquinolones. A Gram stain suggestive of pneumococci would therefore only confirm the clinical diagnosis. Exposure to influenza is an important historical finding. Patients with influenza often have a prodrome (upper respiratory symptoms, myalgias, prostrating weakness), but influenza would not cause a lobar infiltrate. Staphylococcus aureus pneumonia can sometimes follow influenza. Acute lobar pneumonia, even in an HIV-positive patient, is usually due to the pneumococcus and can often be treated as an outpatient. Pneumocystis jiroveci pneumonia is usually insidious in onset, causes diffuse parenchymal infiltrates, and does not cause pleurisy or pleural effusion. Physical examination signs of consolidation confirm the CXR finding of a lobar pneumonia (as opposed to a patchy bronchopneumonia) and would simply affirm the importance of coverage for classic bacterial pathogens (i.e., pneumococci, H influenzae). Atypical pneumonias (due to Mycoplasma, Chlamydia, or Legionella) are usually patchy and do not usually cause pleural effusion. Currently recommended treatment regimens for CAP cover both typical and atypical pathogens.",Medicine,Respiratory
5296,9a8daf09-c05b-46ae-8757-e7f1419bf696,A 40-year-old patient is suffering from carotid body tumor. Which of the following is the best choice of treatment for him?,Excision of tumor,Radiotherapy,Chemotherapy,Carotid artery ligation both proximal and distal to the tumor,0,multi,Ans. (a) Excision of tumorRef: Schwartz 10th Edition Page 678* It is a non-chromaffin paraganglioma* 10% have family history* FNAC and Biopsy are contraindicated* Carotid Angiogram shows - LYRE sign* Excision of the tumor is the treatment of choice.* It rarely metastasize and growth is very slow hence in old age no need of surgery.* Complications of Excision:# Most common nerve injured: Superior Laryngeal Nerve# First bite syndrome: Pain with mastication# Baroreceptor failure if both side carotid body tumor is excised (Wide fluctuations in BP happens),Surgery,Miscellaneous
5313,1f1617c0-f276-4675-a537-b8ec99f13aff,Which of the following is a treatment option for Volkmann's ischemia?,Fasciotomy,Cock up splint,Bone shortening,Turn buckle splint,0,multi,"Ans. A. FasciotomyVolkmann's ischemia is synonymous with Compartment syndrome. If the same is missed, there occurs necrosis followed by fibrosis of forearm flexors leading to a flexion contracture in hand also called as Volkmann's ischemic contracture.",Orthopaedics,Management In Orthopedics
