,id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name,llm_label,llm_reason
33,324bcd12-a946-43cc-8081-ddd693151c9c,A patient presents with erythematous scaly lesions on extensor aspect of elbows and knee. The clinical diagnosis is got by :,Auspitz sign,KOH smear,Tzanck smear,Skin biopsy,0,single,Ans. is 'a' ie Auspitz signErythematous scaly lesions on extensor aspect of elbow and knee favours the diagnosis of Psoriasis.The clinical diagnosis of psoriasis can be made by demonstrating Auspitz sign.It is a characteristic finding of psoriasis in which removal of scale leads to pinpoint bleeding.Tzanck testis used in the clinical diagnosis of PemphigusNote that Tzanck smear is used in the diagnosis of herpes virus infection.KOH smearis used for diagnosing fungal infections such as ringworm infections,Skin,Psoriasis,True,The question provides enough context for a diagnosis without needing specific options.
34,92f241b1-5dd7-4309-be7d-575987eb3c07,"A young male presents with ear discharge since three years; recently developed swelling in the neck below and behind the angle of mandible, toicollis; on the examination, the external auditory canal was filled with granulation tissue. What is the diagnosis?",Luc's abscess,Citelli's abscess,Bezold's abscess,Parapharyngeal abscess,2,single,"Bezold's abscess It can occur following acute coalescent mastoiditis when pus breaks through the thin medial side of the tip of the mastoid and presents as a swelling in the upper pa of the neck. The abscess may Lie deep to sternocleidomastoid, pushing the muscle outwards. Follow the posterior belly of digastric and present as swelling between the tip of mastoid and angle of the jaw. Present in the upper pa of the posterior triangle. Reach the parapharyngeal space. Track down along the carotid vessels. Clinical features: Onset is sudden. Pain Fever Tender swelling in the neck Toicollis The patient gives a history of purulent otorrhoea. (Ref: Textbook of diseases of ENT, PL Dhingra, 7th edition, pg no. 87)",ENT,Ear,True,The question provides enough clinical information to derive a diagnosis without options.
35,805f167d-13ad-4949-9267-1ebce3a48a9f,A 26 years old G2P1L1 at 10 weeks complains of pain abdomen and bleeding per vaginum. On examination products of conception are seen paially extruding through the cervix. What is your diagnosis?,Inevitable aboion,Threatened aboion,Complete aboion,Incomplete aboion,3,multi,Bleeding follows paial or complete placental separation and dilation of the cervical os in incomplete aboion. The fetus and the placenta may remain entirely within the uterus or paially extrude through the dilated os.Management is Evacuation or medical termination (if stable).Reference: William's Obstetrics; 25th edition; Chapter 18; Aboion,Gynaecology & Obstetrics,General obstetrics,True,The question can be answered based on the information given about the patient's condition.
40,b4499541-3fb7-497d-8ddb-1a01b7070556,2-year-old child presents with sho stature and cafe-au lait spots. Bone marrow aspiration yields a little material and mostly containing fat. What is your diagnosis:,Fanconi anemia,Dyskeratosis congenita,Tuberous sclerosis,Osteogenesis imperfecta,0,single,- All features given in the question suggests the diagnosis of Fanconi anemia Common physical findings in Fanconi Anemia (FA): - Skin pigment changes including Cafe-au-lait spots (55% cases) - Sho stature (in 50% cases) - Microcephaly - Thumb and radial malformations - Renal and cardiac malformations - Hypogonadism - Associated with Aplastic anemia.,Pediatrics,Aplastic anemia,True,The question describes clinical symptoms and findings that lead to a specific diagnosis without referencing answer options.
41,2c676972-bd4f-4a3c-b082-2af34b86c74c,"A 30 year old female patient complains of painless hard anterior neck mass. FNAC was inconclusive. Open thyroid biopsy was performed which revealed the  ﬁbrous nature of the mass, woody, non tender thyroid, mimicking carcinoma is  observed.  The diagnosis points towards",De Quervain's thyroiditis,Riedel's thyroiditis,Hashimoto’s thyroiditis,None of the above,1,multi,,Surgery,,True,The question provides enough information to suggest a diagnosis without requiring any options.
43,7d05f799-cfba-4563-a9cf-94e242e445e8,A patient presents with diarrhoea. analysis of stool on wet mount shows mobile protozoa without RBCs and pus cells. The diagnosis is -,Balantidium coil,Giardiasis,Trichomonas hominis,Entamoeba histolytica,1,single,"Ans. is 'b' i.e., Giardiasis . Mobile protozoa with absence of RBC's and pus cells in stools in a patient with diarrhoea suggests giardiasis. . In balantidum cob and entomoeba histolytica infections, pus cells and RBC's will be present in stools. Trichomonas hominis is considered as non-pathogenic",Microbiology,,True,The question can be answered based on the information provided without needing to see options.
45,5042da44-cdf1-4bd1-943c-8213d3155fef,A man coming from a mountain whose wife died 6 months prior says that his wife appeared to him and asked him to join her. The diagnosis is,Normal grief,Grief psychosis,Bereavement reaction,Supernatural phenomenon,1,single,"B i.e. Grief psychosis Bereavement, Grief, or Mourning is a psychological reaction of those who survive a significant loss. Differences between normal & abnormal grief:Identifying with a deceased person such as taking on ceain admired traits or treasuring ceain possessions is normal; believing that one is the deceased person or is dying of exactly what the deceased person died of (if in fact, this is untrue) is not normal.- Hearing the fleeting, transient voice of a deceased person may be normal; persistent, intrusive, complex auditory hallucinations are not normal.Denial of ceain aspects of the death is normal; denial that includes the belief that the dead person is still alive is not normal.GriefIs a normal response of an individual to the loss of a loved object which presents with:- Various physical & mental symptoms like sighing, crying, choking, breathing difficulty, weakness, etc. - Preoccupation with the memory of deceased- Sense of presence of deceased & misinterpretation of voices & faces of others as that of lost. - Seeing a person in dreams & fleeting hallucinations.Abnormal Grief Exaggeration of one or more normal symptoms of grief- Duration > 6 months. Pathological/Morbid GriefComplicated Grief1Associated with psychotic orneurotic illness* Chronic Grief* Delayed Grief* Inhibited Grief =* Anniversary Reaction=Duration > 6 monthsOnset after 2 weeks of lost (death)Denial of lossGrief reaction on the death anniversary Over idealization of the deceased.",Psychiatry,,True,"The question seeks a diagnosis based on the information provided, which can be inferred without options."
46,6ced785b-413c-4df8-8ce8-aa579c6d9521,What is the treatment of threshold ROP?,laser photocoagulation,slow reduction in oxygen,retinal reattachment,antioxidants,0,single,"Ans is 'a' i.e. Laser Photocoagulation Threshold disease in ROP is defined as stage 3+ ROP in Zones 1 or 2 occupying at least five contiguous clock-hours or eight noncontiguous clock-hours of retina.Treatment of threshold disease is Laser Photocoagulation.'Laser therapy has largely replaced cryotherapy because visual and anatomical outcomes are superior and laser induces less myopia. "" -Kanski 6/e p610Other options:Antioxidants like vit E and slow reduction in 02 has no role in established ROP (threshold disease in our patient); although both are mentioned in few texts for prevention of ROP and even that is not well proven.Retinal reattachment is required when retina is detached like in stage 4 and 5 while Threshold disease is Stage 3 + disease.Also know:""Low birth weight and decreased gestational age are now considered the primary causative factors for ROP. Supplemental oxygen administration which was for a long time considered as the important causative factor is now considered only a risk factor. "" - Khuran Ophthalmology 4/e p264 ""ROP is confined to those with a birth weight of under 1.5 kg and/or a gestational age of under 32 wks. ""- Parson 21/e P310 The hallmark of retinopathy of prematurity (ROP) is abnormal retinal vasculature. Ophthalmologists diagnose and make decisions about the initial treatment of ROP based on the appearance of the retinal blood vessels. Dilatation and tortuosity of the retinal vessels at the posterior pole is termed 'plus' disease. It is a sign of rapidly progressive ROP and is an indication for early laser ablation of the peripheral avascular retina.Retinopathy of prematurity (ROP)ROP is a bilateral proliferative retinopathy that develops in premature infants due to incomplete vasculogenesis of retina at the time of birth.During normal retinal development, vessels migrate from the optic disc to the ora serrata beginning at 16weeks of gestation. Capillary network is formed differentiating into mature vessels which extend to nasal ora by 36 wks and tangential ora by 39-41 wks.The pathogenesis of ROP begins with premature birth. Exposure of extrauterine environment causes phases of hyperoxia-vasocessation (obliteration of retinal vessels) and hypoxia-Vaso proliferation (neovascularization). VEGF is thought to be the most important molecule involved in the neovascularization.Neovascularization leads to retinal and vitreous changes which ultimately lead to retinal detachment.Classification of ROP:ROP is described using a number of parameters. These are location of the disease into zones (1, 2, and 3), the circumferential extent of the disease based on the clock hours (1-12), the severity of the disease (stage 1-5) and the presence or absence of ""Plus Disease"".Classification on the basis of severity, ROP is divided into 5 stages:-Stage I- the first sign of ROP (stage 1) is the appearance of a thin, fiat, white structure (termed a demarcation line) at the junction of vascularized retina posteriorly and avascular retina anteriorly.Stage II- the demarcation line develops into a pink or white elevation (ridge) of thickened tissueStage III- proliferation of vessels over the ridge and into vitreous (extra vitreal fibrovascular proliferation)Stage IV- partial retinal detachmentIVa- partial detachment with macular sparing IVb- partial detachment with macula involvedStage V- total retinal detachmentClassification on basis of anatomical location:-Since there is a direct correlation between severity of disease and amount of avascular retina, the location of the border between vascularized and avascular retina is an important prognostic sign.3 zones are divided to describe the location of ROP. Location of the border in zone 1 is the most severe disease and in zone 3 least.Zone 1 is defined as a circle, the center of which is the disc, and the radius of which is twice the distance of the disc to the fovea.Zone 2 is a doughnut-shaped region that extends from the anterior border of Zone 1 to within one disc-diameter of the ora serrata nasally and to the anatomic equator temporally.Zone 3 encompasses the residual temporal retina.Plus disease:- As ROP progresses, more and more shunting occurs in the neovascular tissue at the retinal vascular- avascular junction. This increased retinal vascular blood flow results in dilation and tortuosity of the major retinal arteries and veins in the posterior pole - described as ""plus disease"". Plus disease is the hallmark of rapidly progressive ROP and is notated by adding a plus sign after the number of the ROP stage.Management:Most of the cases (approx. 80%) of ROP resolve spontaneously, hence intervention is chosen according to the below given protocol.ROP is divided into Threshold and Pre threshold disease.Threshold disease: It is defined as stage 3+ ROP in Zones 1 or 2 occupying at least five contiguous clock-hours or eight noncontiguous clock-hours of retina.Treatment of Threshold disease is - Laser photocoagulation.Pre threshold disease is divided into 2 types:High risk or Type I - treatment is Laser photocoagulationLow risk or Type II - treatment is Weekly or Twice weekly observationType 1 Pre thresholdType 2 Pre thresholdZone I ROP (any stage) + Zone I, Stage 3 Zone II, Stage 2/3 +Zone I, Stage 1/2 - Zone II, Stage 3 -Laser PhotocoagulationWeekly or Twice weekly observationROP diseases less severe than Pre threshold are followed up.In this question, the child with zone 1, stage II 'plus' ROP falls into Pre threshold disease- Type 1 or high risk type, hence Laser Photocoagulation would be the management of choice.",Ophthalmology,Dystrophies and Degenerations,True,The question asks for a treatment and does not reference specific options.
47,d45904aa-fb66-473e-9f80-037a0932d06e,The gold standard for the definitive diagnosis of the extrahepatic biliary atresia is,Per operative cholangiography,Hepatobiliary scintigraphy,Alkaline phosphatase level,Liver biopsy,3,single,"Biliary atresia Evaluation of biliary anatomy begins with ultrasound Other imaging modalities such as HIDA scintigraphy, MRCP and ERCP have been used with varying success Although these are useful adjuncts, liver biopsy is gold standard for the diagnosis of biliary atresia and can safely be done percutaneously under local anaesthesia Ref: Sabiston 20th edition Pgno : 639",Anatomy,G.I.T,True,The question can be answered based on the knowledge of definitive diagnosis for extrahepatic biliary atresia without needing options.
48,01fd7d4a-cb59-4712-ac88-cecf75b5357a,Chandu 32 years male presents with abdominal pain and vomitting. He also complain of some psychiatric symptoms & visual hallucination. Most likely diagnosis is,Hypothyroidism,Hypehyroidism,Hysteria,Intermittent Porphyria,3,multi,D i.e. Intermittent porphyria,Skin,,True,"The question asks for a diagnosis based on symptoms presented, which can be determined without options."
49,039cc18f-f538-49d4-bd6a-a8e7028cf7a7,"A child with vesicoureteric reflex of grade 2 comes to OPD. What is the
preferred treatment method",Antibiotics,Observation,Sting operation,Ureteric reimplantation,0,single,Prophalyctatic antibiotics is given to all vesicoureteric reflex pts.,Surgery,,True,The question can be answered based on knowledge of treatment methods for grade 2 vesicoureteric reflux without needing specific options.
50,1abd9ca7-7e2d-4c0e-9232-2324a9d45711,"patient has decreased weight, need for thinness, the diagnosis is",refeeding syndrome,anorexia nervosa,metabolic syndrome,bulimia nervosa,1,single,"Anorexia nervosa Anorexia nervosa is a eating disorder where the patient has decreased weight and altered body image and persistent desire to maintain thinness * Gender==== more common in females * Age=======adolescence * Comorbidity=== depression and social phobia * Duration====3 months * Criteria= * Intense fear of becoming fat * Restriction of food intake * Restricting type * Binge eating and purging type * Amenorrhea is not needed for diagnosis, previously amenorrhea is considered as a diagnostic criteria for diagnosis, in recent DSM 5 amenorrhea is considered for a diagnosis * Association= * OCD and depression * Decreased interest in sex * Complication * 7-14% moality * ECG changes * Hypokalemic alkalosis because of induced vomiting * Gastric dilation * Drugs * Cypro hepatidine * SSRI * Management * Admit in severe cases * Prevent vomiting by making restroom inaccessible for 2 hours after food intake * Avoid laxatives * Small frequent meals * Avoid refeeding syndrome Ref. kaplon and sadock, synopsis of psychiatry, 11 th edition, pg no. 509",Anatomy,Sleep disorders and eating disorders,True,The question can be answered based on knowledge of medical conditions without needing options.
51,94a3ee08-9f21-42c0-81ce-6168af594e82,"A 47-year-old woman is admitted to the hospital with signs of cavernous sinus thrombosis. Radiographic examination reveals a pituitary tumor involving the cavernous sinus, confirming the initial diagnosis. During physical examination it is suspected that the right abducens nerve of the patient has been damaged by the tumor. In which direction will the physician most likely ask the patient to turn her right eye to confirm the abducens nerve damage, assuming she is unable to perform this task?",Inward,Outward,Downward,Down and out,1,single,"(b) Source: GAS 849-852, 855; GA 450, 465, 536The right abducens nerve innervates the right lateral rectus, which mediates outward movement (abduction) of the right eye. Inward movement is accomplished by the medial rectus, supplied by the oculomotor nerve. Downward movement in the midline is accomplished by joint activation of the superior oblique and inferior rectus muscle. Downward movement of the pupil from the adducted position is a function of the superior oblique alone, which is supplied by the trochlear nerve. Down and out motion is mediated by the combined actions of the lateral rectus and inferior rectus, which are innervated by the abducens and oculomotor nerves. Downward movement of the pupil from a forward gaze is a result of combined actions of inferior rectus and superior oblique muscles, supplied by oculomotor and trochlear nerves, respectively.",Anatomy,Head & Neck,True,"The question asks for a specific action (direction to turn the eye) related to a medical hypothesis, which can be answered without needing options."
55,f9265d72-9be4-4de6-b409-52cd81663674,A 22 year old man had a Beef sandwich and Potato salad. He Vomited 2 hours after the meal. What is the probable diagnosis,S. aureus poisoning,Bacillus cereus poisoning,Clostridial poisonong,Helicobacter pylori poisoning,0,single,"Preformed toxin of S. aureus causes nausea within 1-6 hours of ingestion.
Common food associated are: Poultry, potato and egg salad.",Medicine,,True,The question can be answered based on the information provided without needing options.
57,7ac42fa7-9a7a-46be-b64b-b43571966437,"A patient presents with Hb of 8 gm%, WBC count of 2000/mm3 and platlet count of 60000/mm3. What is your likely diagnosis ?",Thalassemia,Sickle cell anemia,Aplastic anemia,Anemia of chronic disease,2,single,"Answer- C. Aplastic anemiaThe patient in question is having Pancytopenia (anemia, leukopenia and thrombocytopenia) - Feature of Aplastic anemia.",Medicine,,True,The question can be answered based on clinical knowledge without needing options.
58,56bd9fb1-3392-4ec9-839c-0c1263e9aa88,"A patient repoed with a history of fall on an outstretched hand, complains of pain in the anatomical snuffbox and clinically no deformities visible. The diagnosis is:",Colles' fracture,Lunate dislocation,Baon's fracture,Scaphoid fracture,3,multi,D i.e. Scaphoid,Surgery,,True,The question can be answered based on medical knowledge without needing options.
62,9098c2de-0c09-4332-b14c-04bb60bcafd8,"Lallu a 22 yrs. old male suffers from decreased sleep, increased sexual activity, excitement and spending excessive money for last 8 days. The diagnosis is-",Confusion,Mania,Hyperactivity,Loss of memory,1,multi,"Decreased sleep, increased sexual activity, excitement and spending excessive money are symptoms of mania.",Psychiatry,,True,"The question is about diagnosing a condition based on provided symptoms, which can be analyzed without options."
63,0921441e-f890-4483-9124-d73958608213,What is the most likely diagnosis in this 50-year-old woman?,Metastasis,Onychomycosis,Psoriasis,Thromboangiitis obliterans,0,single,"Answer A. MetastasisFollowing radiography that revealed a lytic lesion of the terminal phalynx, the firm 2-cm lesion with a scab in the center was biopsied and found to represent a metastasis from follicular thyroid carcinoma.",Medicine,Immunology and Rheumatology,True,The question can be answered without referring to options.
65,404ff199-6c04-4e7a-a59c-60162a7ecf07,A 25 yr old lady develops brown macular lesions over the bridge of nose and cheeks following exposure to sunlight. What is the most probable diagnosis?,Chloasma,Photodermatitis,SLE,Acne rosacea,0,single,"This lady is showing features of chloasma which is a brownish macular hyperpigmentation of the face mostly over the cheek, forehead, nose, upper lip and chin. In a small percentage of cases it is also seen on the malar or mandibular areas of the face and occasionally the dorsum of the forearms. It is exacerbated by sunlight. This is usually seen in women during pregnancy, in women taking OCPs and living in sunny regions. It is also associated with the ingestion of diphenylhydantoin. Ref: Suurmond D. (2009). Section 13. Pigmentary Disorders. In D. Suurmond (Ed), Fitzpatrick's Color Atlas & Synopsis of Clinical Dermatology, 6e.",Skin,,True,The question can be answered based on the provided information without needing specific options.
