subject_name,question,opa,opb,opc,opd
Anatomy,"A 22-year-old woman is found in a comatose condition, having lain for an unknown length of time on the tile floor of the courtyard. She is found in possession of cocaine. The patient is transported to the hospital while EMT personnel receive instructions for treatment of drug overdose. During the physical examination the patient's gluteal region shows signs of ischemia. After regaining consciousness, she exhibits paralysis of knee flexion and dorsal and plantar flexion and sensory loss in the limb. What is the most likely diagnosis?",Tibial nerve loss,S1-2 nerve compression,Gluteal crush injury,Piriformis entrapment syndrome
Anatomy,Which type of gout is seen in a patient who is on treatment of CML?,Secondary gout,Pseudogout,Acute gout,Primary gout
Anatomy,"A 55 year old man comes to his primary care clinician of erectile dysfunction. He is given a prescription for sildenafil, and on follow-up, repos that his ability to sustainn an erection has been improved markedly by this treatment. The action of which of the following vasoactive mediators would primarily be prolonged in this patient",Histamine,Endothelin-1,Prostacyclin,Nitirc Oxide
Anatomy,A 14 year old boy present with headache fever and cough for 2 days. Sputum is scant and non purulent and gram stain reveals many white cells but no organisms. The treatment should be initiated with,Cefazolin,Erythromycin,Amikacin,Trovafloxacin
Anatomy,"A patient needs antibiotic treatment for Aificial valve, culture positive infective entercoccal endocarditis. His medical history include several anaphylactic reaction to penicillin G during the past year. The best approach would be treatment with",Amoxicillin clavulanic acid,Aztreonam,Cefazolin plus gentamicin,Vancomycin
Anatomy,A 30 Yr old male presents to emergency depament with symptoms of epigastric pain radiating to back that wakes him up at night and is relieved by consuming food. He gives history of similar pain in the past which was diagnosed as perforated duodenal ulcer and treatment with omental patch surgery on two occasions.. Pain before and after surgery has been controlled with proton pump inhibitors and analgesics. The likely diagnosis on this occasion is,Duodenal ulcer,Gastric ulcer,Atrophic gastritis,Chronic pancreatitis
Anatomy,A 50-year-old manhas a history of frequent episodes of renal colic with high calcium renal stones. The most useful diuretic in the treatment of recuurent calcium stones is:,Furosemide,Spironolactone,Hydrochlohiazide,Acetazolamide
Anatomy,"A female newborn was found to have a large midline tumor in the lower sacral area, which was diagnosed as a sacrococcygeal tumor. Which of the following courses of treatment is recommended for this child?",Immediate chemotherapy and radiation treatment,Surgical removal by age 6 months,Surgical removal at age 4-5 years,Surgical removal at age 13-15 years
Anatomy,"A 19-year-old man is brought to the emergency department after dislocating his shoulder while playing football. Following treatment of the dislocation, he cannot initiate abduction of his arm. An MRI of the shoulder shows a torn muscle. Which muscle was most likely damaged by the injury?",Coracobrachialis,Long head of the triceps,Pectoralis minor,Supraspinatus
Anatomy,In a patient with compensated liver cirrhosis presented with history of variceal bleed. The treatment of choice in this patient is -,Propranolol,Liver transplantation,TIPS (Transjugular intrahepatic poal shunt),Endoscopic sclerotherapy
Anatomy,A 69 year old male patient having coronary Aery disease was found to have gallbladder stones while undergoing a routine ultrasound of the abdomen. There was no history of biliary colic or jaundice at any time. What is the best treatment advice for such a patient for his gallbladder stones,Open cholecystectomy,Laparoscopic cholecystectomy,No surgery for gallbladder stones,ERCP and removal of gallbladder stones
Anatomy,A 30-year-old woman complains of weakness and fatigability over the past 6 months. She has a 3-month acute history of severe hypertension that has required treatment with antihypertensive medications. Radiographic examination reveals a tumor of her right suprarenal gland. The patient is diagnosed with a pheochromocytoma (tumor of the adrenal medulla) and is scheduled for a laparoscopic adrenalectomy. Which of the following nerve fibers will need to be cut when the adrenal gland and tumor are removed?,Preganglionic sympathetic fibers,Postganglionic sympathetic fibers,Somatic motor fibers,Postganglionic parasympathetic fibers
Anatomy,A 25 year old female complaints of discharge of blood from a single duct in her breast. The most appropriate treatment is,Radical excision,Microdochectomy,Radical mastectomy,Biopsy to rule out carcinoma
Biochemistry,An infant presents to OPD with a history of vomiting and poor feeding. Musty odor is present in baby's urine. Guthrie test was done and found to be positive. Which of the following is not a treatment modality for this patient?,Administration of large neutral amino acids,Sapropterin dihydrochloride intake,Low–phenylalanine diet,None of the above
Biochemistry,"An 8-year-old child is taken for a physical examination because of pressure from the boy's teachers that something is ""not right"" and that the child is underperforming in class. The boy is remarkable for being tall and thin, with long limbs, and a small curvature to his spine (scoliosis). He displays pectus carinatum and a dislocation of the lens in one eye. He has also had a number of recent blood clots that required treatment. After examination, and the running of some tests, the boy was placed on pharmacologic doses of vitamin B6, and this treatment appeared to alleviate some of the symptoms. The enzyme that is most likely to be defective in this child is which one of the following?",Cystathionine b-synthase,S-Adenosylhomocysteine hydrolase,Methionine synthase,"N5,N10-Methylenetetrahydrofolate reductase"
Biochemistry,"A 52-year-old man, after suffering a heart attack, was put on 81 mg of aspirin daily by his cardiologist. The purpose of this treatment is to reduce the levels of which one of the following?",Cytokines,Leukotrienes,Thromboxanes,Cholesterol
Biochemistry,"A medical student has been exposed to a patient with tuberculosis and developed a positive tuberculin test (PPD) but exhibited a normal chest X-ray. Fie is placed on a 6-month course of prophylactic treatment, but subsequently develops peripheral neuropathies. Which one of the following vitamins would be considered a treatment for the neurotoxicity?",B1,B2,B3,B6
Biochemistry,"A 55-year old man who was a chronic alcoholic presented with confusion, ataxia, and diplopia. What is the treatment protocol?",Thiamine infusion alone,thiamine injection followed by glucose infusion,Glucose infusion alone,Glucose infusion followed thiamine injection
Biochemistry,"7 year old child presents with poor wound healing, Perifollicular hemorrhages and sharp and painful swellings at the costochondral junction of ribs. Which of the following treatments are recommended",Leafy vegetables in the diet,Animal products containing liver in the diet,Avoidance of eggs from diet,Oranges and amla in the diet
Biochemistry,"A 55 year old male patient complains of abnormal growth on right cheek. Patient has a habit of tobacco chewing since 30 years. Radiologic findings reveal 8x8 cm fungating mass, invading maxilla and mandible on right side. Histologic findings are suggestive of squamous cell carcinoma. Which of the following is not true regarding the treatment of this condition?",The drugs used are designed to block DNA replication,Methotrexate and 5-fluorouracil block nucleotide synthesis,Topoisomerase inhibitors promote the unwinding of parental DNA  strands and prevent replication,The drugs used for cancer therapy inhibit the enzymes that participate in replication
Biochemistry,"A 48 year old male patient comes to the clinic for routine general checkup. He is a known diabetic and is on insulin. On general examination, truncal obesity is seen.
The agent used in the treatment of this patient has all the following actions except:",It inhibits the release of FFA from adipose tissue,It enhances the uptake of glucose into adipose cells via the GLUT4 transporter,"In adipose tissue, it inhibits the activity of hormone-sensitive lipase",Adipose tissue is less sensitive to it than many other tissues
Biochemistry,A male 45 year old presents to the clinic for routine checkup. He is a known case of hypertension and is under treatment. The clinician advises him to have a balanced diet involving which of the following fatty acids?,ω3 fatty acids,ω6 fatty acids,ω9 fatty acids,Fatty acids need not be taken at all
Dental,"A young female patient reports to the dental office with complaint of small gaps between her teeth

The most feasible and economic treatment option for such a situation would be",Porcelain veneers,Porcelain jacket crown,Orthodontic tooth movement,Diastema closure using composite
Dental,A mother reported to clinic with her 40 days old child. There is a small ulcer on the tongue which is tender with erupted teeth In mandibular anterior alveolus. What will be your treatment plan:,Remove teeth under LA,Take IOPA if it is primary tooth then save it and do coronoplasty,Advise mother that it is primary tooth and roots will develop later and no treatment of requires,Apply LA gel on tongue and counsel the mother that no treatment is required.
Dental,A boy age 8 years came to your dental clinic with no crowding in both arches. Lateral cephalogram reveals SNA angle of 78 and SNB angle of 82 the line of treatment is,Reverse pull head gear with chin cap,Frankel III (n) reverse activator,Surgery in both maxilla and mandible followed by definite orthodontic treatment,Extraction followed by orthodontic treatment
Dental,In multibacillaryleprosy the follow-up examination after adequate treatment should be done yearly for-,3 years,3 years,5 years,10 years
Dental,"A Female patient comes for treatment of discoloured maxillary canine tooth. On examination there is yellowish discoloration of tooth which is not tender on palpation or percussion test. Radiograph reveals obliteration of root canal. History of trauma is elicited on questioning.

What investigations to be done further?",Test cavity,Transillumination test,Electric pulp testNone,None
Dental,"If the patient shows tamper tantrum and you send the patient back without any treatment, this is known as:",Positive Reinforcer.,Negative Reinforcer.,Negative Reinforcement.,None.
Dental,"During treatment of a child aged 5 years, their parents must be:",Seated along with child on dental chair,Present in operating room,Excluded from operating room,Not to be in clinic at time of treatment
Dental,"A Female patient aged 40 years comes for routine general examination. Full mouth radiographs are taken. Oval shaped radiolucent areas are seen in the root canals of maxillary central incisors Teeth are asymptomatic and show feeble response to vitality tests.

What is your line of treatment?",Keep the teeth under observation of call the patient after 3 months,Suggest root canal treatment,Suggest OPG for confirmatory diagnosis,Do test cavity
Dental,"A 10 year old male patient complains of spacing between his upper front teeth. On clinical examination, a midline diastema is seen. It is noted that the patient is in the mixed dentition period. Which of the following is an appropriate treatment protocol for this patient?",Frenectomy followed by orthodontic space closure,"No intervention, spontaneous resolution",Fixed orthodontic therapy,Removable appliance to close the midline diastema
Dental,If a patient is allergic to penicillin and antibiotic prescription is an absolute need in endodontic treatment than which of the following antibiotic can be given:,Clindamycin.,Clavulanic acid.,Doxycycline.,Erythromycin.
Dental,A 10-year-old girl presents with scalp pruritus for several weeks. Nits are visible on her hair. Which of the following treatment recommendations would you recommend?,"1% permethrin lotion, apply to clean, dry hair for 10 minutes, re-treat in 4 weeks","1% permethrin lotion, apply to wet hair for 10 minutes, re-treat in 4 weeks","1% permethrin lotion, apply to clean, dry hair for 10 minutes, re-treat in 1 week","1% permethrin lotion, apply to wet hair for 10 minutes, re-treat in 1 week"
Dental,Your patient is 4 years old. The maxillary right primary central incisor was traumatically avulsed 60 minutes ago. What is the treatment of choice?,"Replant, splint, primary endo","Replant, splint, formocresol pulpotomy","Replant, no splint, primary endo",None of the above
Dental,"A 24 year old unmarried woman has multiple nodular, cystic, pustular and comadonic lesions on face, upper back and shoulders for 2 years. The drug of choice for her treatment would be –",Acitretin,Isotretinoin,Doxycycline,Azithromycin
Dental,"3 year old child has a central incisor that has turned
bluish black. There is a small radiolucent area at the
apex of the tooth. Ideal treatment is",Extraction,Pulpotomy with formocresol,Pulpectomy; fill with zinc oxide eugenol,Pulpotomy with calcium hydroxide
Dental,An 8 year old has 1st molar in a cusp-to-cusp relation. The treatment is:,Fixed appliance,Removable appliance,Continuous recall and observe,None of the above
Dental,"A 45 year old female patient reports to the clinic with a history of pain with tooth 37. The tooth appears normal on clinical and radiographic examination except for the fact that pain occurs on biting on a hard object and then releasing the bite.

Immediate treatment of such a tooth involves",Stabilization with orthodontic band,Extraction,Relief from occlusion,Full coverage crown
Dental,A 26 year old female patient complains of discoloured teeth. Intra-oral examination reveals generalized intrinsic tetracycline stains. Which of the following is an effective and esthetic treatment in this case?,External bleaching,Intracoronal bleaching,Veneers,Full coverage crowns
Dental,A 63-year-old man asks if you can get rid of a wa from his back that catches on his clothes and bleeds on occasion. He thinks it has been there for only a couple of months. The lesion is shown below. Which one of the following would be the single most appropriate treatment for this lesion?,Cryotherapy,Silver nitrate cautery,Salicylic acid,Excision biopsy
ENT,A 31-year-old female patient complains of B/L impairment of hearing for the past 5 years. Audio- gram shows a B/L conductive deafness. Impedance audiometry is given below. All constitute part of treatment except:,Hearing aid,Stapedectomy,Sodium fluoride,Gentamicin
ENT,"A 50 year old male chronic smoker complaints of hoarseness of voice for the past 4 months. Microlaryngoscopic biopsy shows it to be keratosis of the larynx. All are suggested treatment modalities for this condition, EXCEPT:",Stop smoking,Laser vaporizer,Paial laryngectomy,Stripping of vocal cord
ENT,"A 31-year-old female patient complains of bilateral Impairment of hearing for the past 5 years. On examination, tympanic membrane (TM) is normal and audiogram shows a bilateral conductive loss. Impedance audiometry shows AS type of curve and absent acoustic reflex. All constitute part of treatment except:",Hearing aid,Stapedectomy,Sodium fluoride,Gentamicin therapy
ENT,Which of the following would be the most appropriate treatment for rehabilitation of a patient who has bilateral profound deafness following surgery for bilateral acoustic schwannoma,Bilateral with powered digital hearing aid,Bilateral cochlear implants,Unilateral cochlear implant,Brain stem implant
ENT,"A 30 year old female with history of singing, vocal abuse and gastrooesophageal reflux developed nodules at junction of anterior 1/3rd & middle 3rdof her vocal cords. What is treatment of choice ?",Speech therapy and Proton pump inhibitor (PPI),Microlaryngascopic surgery & CO2 laser,Microlaryngectomy,Direct laryngoscopy and biopsy
ENT,Commando operation is used as treatment for,Colon cancer,Carcinoma esophagus,Parotid gland tumour,Carcinoma of oral cavity
ENT,24. In a patient with multiple bilateral nasal polyps with x ray showing opacity in the paranasal sinuses. The treatment consists of following except:,epinephrine,Coicosteroids,Amphoterecin B,Antihistamines
ENT,"A 10 years boy presented with sensory neural deafness not benefited with hearing aid, Next treatment is",Cochlear implant,Fenestromy,Stapedectomy,Stapes fixation
ENT,A 3-year-old male child presents with multiple laryngeal papillomas with hoarse voice and slight airway distress. Papillomas are involving the glottis. The best treatment is:,Tracheostomy and observation,Steroids,Interferon therapy,Microlaryngoscopy and excision
ENT,Which of the following would be the most appropriate treatment for rehabilitation of a patient with bilateral profound sensorineural loss following surgery for bilateral acoustic schwannoma?,Bilateral high powered digital hearing aid,Bilateral cochlear implants,Unilateral cochlear implant,Brain-stem implant
ENT,True about juvenile respiratory papillomatosis -a) Affects children commonlyb) Lower respiratory tract can be involvedc) May resolve spontaneouslyd) Microlaryngoscopic surgery is treatment of choice,abc,bcd,abd,All of the above
ENT,"An old man who is edentulous, presents with squamous cell carcinoma in buccal mucosa that has developed and infiltrated to the alveolus. Following is not indicated in treatment:",Radiotherapy,Segment mandibulectomy,Marginal mandibulectomy involving removal of outer table only,Marginal mandibulectomy involving removal of upper half of mandible
ENT,A boy has developed epistaxis. What is the treatment of choice,Digital pressure,Nasal packing,Cauterization of vessels,Surgical ligation
ENT,Epley's manoeuvre is used in treatment of,Infective labyrinthitis,Tinnitus,Cervical spondylosis,BPPV (Benign primary positional vertigo)
ENT,"10 year old boy developed hoarseness of voice following on attach of diphtheria, No other significant OLE or VR is paralysed, treatment of choice is",Get foam infection of right VC,Fat injection of rigth VC,Thyroplasty Type 1,Walt for spontaneous recovery
ENT,"A 31 year old female patient complainsts of bilateral impairment of hearing for the 5 year.On examination, tympanic membrane is normal and audiomgram shows a bilateral conductive deafness. Impedance audiometry shows As type of curve and acoustic reflexes are absent. All constitute part of treatment,except -",Hearing aid,Stapedectomy,Sodium fluoride,Gentamycin
ENT,"A 50 year old male chronic smoker complains of hoarseness for the past 4 months. Microlaryngoscopic biopsy shows it to be keratosis of the larynx. All are suggested treatment modalities for this condition, except -",Laser vaporizer,Stop smoking,Stripping of vocal cord,Partial laryngectomy
ENT,A mother brought her child with glue ear. Child had otitis media two weeks before. What is the treatment of choice for glue ear?,Myringotomy with cold knife,Myringotomy with diode laser,Myringotomy with ventilation tube inseion,Conservative treatment with analgesics & antibiotics
ENT,"A-7 year child presenting with acute otitis media, does not respond to ampicillin. Examination reveals full and bulging tympanic membrane, the treatment of choice is -",Systemic steroid,Ciprofloxacin,Myringotomy,Cortical mastiodectomy
Forensic Medicine,A male did not have alcohol for 2 days presented with seizures treatment given: AIIMS 13,Diazepam,Phenobarbital,Disulfiram,Thiamine
Forensic Medicine,"A 34 year old rickshaw puller has been using heroin for the past ten years. One evening his family members found him unconscious. He was brought to the casualty. On examination he had bradycardia, shallow breathing, constricted pupils. His blood pressure was 100/70 mm of Hg. He had brisk bilateral deep tendon reflexes. The plantar reflexes were flexor on both sides. Which of the following is the best treatment for him ?",Buprenorphine,Flumazenil,Methadone,Naloxone
Forensic Medicine,"A female, Lalita, aged 26 yrs accidentally takes 100 tablets of paracetamol. What is treatment of choice -",Lavage with charcoal,Dialysis,Alkaline diuresis,Acetyl cysteine
Forensic Medicine,"A female, Lalita, aged 26 yrs accidentally takes 100 tablets of paracetamol. What is treatment of choice:",Lavage with charcoal,Dialysis,Alkaline diuresis,Acetyl cystein
Forensic Medicine,A young man with known history of heroine addiction is brought in the emergency in unconscious state by his friends. On examination his pupils are pin point. What will be the treatment of choice?,Oral naltrocene,IV Nalxone,Oral diazepam,Oral buprenorphine
Forensic Medicine,"A 52-year-old man comes with jaundice and extrapyramidal symptoms. On ophthalmic examination, the below finding is noted. The treatment is:",BAL,Penicillamine,Calcium edetate,Desferrioxamine
Forensic Medicine,When a doctor shows gross absence of skill and care during treatment resulting in death of patient is called:,Criminal negligence,Malpractice,Maloccurence,Misadventure
Forensic Medicine,"A 45 year old patient chronic alcoholic, who was regular treatment for diabetes, died from acute exacerbation of chronic pancreatitis. As per Medical ceification of cause of death, the column pa 1 (a) of death ceificate is filled with________",Acute exacerbation of Chronic Pancreatitis,Chronic Pancreatitis,Chronic alcoholism,Diabetes Mellitus
Forensic Medicine,A young man with known history of heroine addiction is brought in the emergency in unconscious state by his friends. On examination his pupil are pin point. What will be the treatment of choice?,Oral naltrexone,IV naloxone,Oral diazepam,Oral buprenorphine
Forensic Medicine,"A 52 year old man comes with jaundice and extra pyramidal symptoms. On ophthalmic examination, the above finding is noted. The treatment is :",Calcium gluconate,Pencillamine,Calcium edentate,Desferrioxamine
Forensic Medicine,"An inpatient of the hospital suffers burns injury when hot bottles were used for the treatment. In the case, the hospital incharge was also charged for the negligence under the doctrine of ___",Vicarious liability,Res ipsa loquitur,Novus actus interveniens,Contributory negligence
Forensic Medicine,A young man with known history of heroine addiction is brought in the emergency in unconscious state by his friends. On examination his pupil are pin point. What will be the treatment of choice,Oral naltrexone,IV naloxone,Oral diazepam,Oral buprenorphine
Forensic Medicine,"A 34-year old rickshaw puller has been using heroin for the past ten years. One evening his family members found him unconscious. He was brought to the casualty. On examination he had tachycardia, shallow breathing, constricted pupils. His blood pressure was 100/70 mm of Hg. He had brisk bilateral deep tendon reflexes. The planter reflexes were flexor on both sides. Which of the following is the best treatment for him?",Buprenorphine,Flumazenil,Methadone,Naloxone
Gynaecology & Obstetrics,"A 40-year-old primiparous woman suspected to be suffering from endometriosis is subjected to diagnostic laparoscopy. Findings indicate - uterus normal, both the ovaries show presence of chocolate cysts; endometriotic deposits are seen on the round ligament right side, both the fallopian tubes and the pouch of Douglas; moderately dense adhesions are present between the fallopian tubes and the pouch of Douglas. The treatment of choice in this case is :",Total hysterectomy with bilateral salpingo-oophorectomy,Danazol therapy,Progesterone therapy,Fulguration of endometriotic deposits
Gynaecology & Obstetrics,"Asymptomatic UTI in pregnancy, true is:a) Most are usually asymptomatic in pregnancyb) If untreated, progresses to pyelonephritisc) Early and prompt treatment prevents abnormalities in fetusd) Increase chance of premature infante) Increase risk of chronic renal lesion",abcd,bcde,acde,abde
Gynaecology & Obstetrics,A young nulliparous woman has 3'd degree of uterovaginal prolapse without any cystocele or rectocele. There is no stress incontinence. The uterus is retroveed. Uterocervical length is 3 inches. All other symptoms are normal. The best treatment plan for her will be :,Observation and reassurance till child bearing is over,Shirodkar's vaginal repair,Shirodkar's abdominal sling,Fothergill's operation
Gynaecology & Obstetrics,"A 35 yr old female, mother of 3 children is observed to have CIN grade III on colposcopic biopsy. Best treatment will be:",Cryosurgery,Conization,LEEP,Hysterectomy
Gynaecology & Obstetrics,"A hemodynamically stable patient with early pregnancy has adnexal mass of 2.5 x 3 cms and beta hCG titre of 1500 mIU /ml, with no intrauterine gestational sac. What modality of treatment is suitable for her",Progesterone therapy,Medical management,Laparoscopic surgery,Laparotomy
Gynaecology & Obstetrics,"A 30-year-old woman para 2+0, hypertension have menorrhagia. Which is best treatment for her?",Combined pills,Mirena,Hysterectomy,Transcervical resection of endometrium
Gynaecology & Obstetrics,"A 23-year-old woman presents to your clinic with complaints of vulvar pain. The patient's history is significant for a new sexual partner and a recent history of flu-like symptoms and vaginal burning. On physical examination, extremely painful shallow ulcers with red borders are appreciated on the vulva, vagina, and perineal region.Which of the following is the most appropriate course of treatment for this patient?",Penicillin,Azithromycin,Doxycycline,Acyclovir
Gynaecology & Obstetrics,What is the ideal treatment for a 55 yr female with Simple Hyperplasia of endometrium with Atypia?,Simple hysterectomy,Medroxy progesterone Acetate (MPA),Levonorgesterol (LNG),IUCD
Gynaecology & Obstetrics,"A pregnant lady at 32 weeks of gestation presents with a BP of 160/110 mmHg, proteinuria with retinal haemorrhage. What is the definitive treatment of choice in this patient?",Ritodrine,Nifedipine,Magnesium sulphates,Termination of pregnancy
Gynaecology & Obstetrics,"A 36-year-old G1P0 at 35 weeks gestations presents with several days H/O generalised malaise, anorexia, nausea emesis and abd. discomfort. She has loss of apetite and loss of several pounds wt in 1 week. Fetal movements are good. There is no headache, visual changes, no vaginal bleeding, no regular uterine contractions or rupture of membranes. She is on prenatal vitamins. No other medical problem. On exaeration she is mild jaundiced and little confused. Her temp is 100 degree F, PR- 70, BP- 100/62, no significant edema, appears dehydrated. FHR is 160 and is nonreactive but with good variability. Her WBC- 25000, Hct- 42.0, platelets- 51000, SGOT/SGPT-287/ 350, GLUCOSE-43, Creatinine- 2.0, fibrinogen-135, PT/PTT- 16/50, S. Ammonia level- 90 micromol/L. Urine is 3+ Proteins with large amount of ketones.What is the the recommened treatment for this patient",Immediate delivery,Cholecystectomy,Intravenous diphenhydramine,MgSO4 therapy
Gynaecology & Obstetrics,A female developed ovarian hyperstimulation syndrome during the treatment of infeility. What is the MOST common cause of ovarian hyperstimulation?,FSH/LH therapy,GnRH drugs,Clomiphene,Danazol
Gynaecology & Obstetrics,"56 years old woman has come to OPD with the complaints of hot flushes, irritability, joint pains and lack of sleep. Most appropriate treatment would be:",Hysterectomy,Calcium and vitamin supplementation,"Combined estrogen, progesterone preparations",Bisphosphonates
Gynaecology & Obstetrics,A patient is receiving external beam radiation for treatment of metastatic endometrial cancer. The treatment field includes the entire pelvis. Which of the following tissues within this radiation field is the most radiosensitive?,Vagina,Ovary,Bladder,Rectum
Gynaecology & Obstetrics,"A 30 week pregnant woman comes to you for antenatal check up. She complains of mild dyspnea and palpitation. On examination pedal edema is present, ejection systolic murmur is present, ECG shows sinus tachycardia, left axis detion, occasional premature ventricular beat. ECHO - Small pleural effusion and mild MR. No other relevant findings are present. What is the next line of treatment?",Sta diuretics,Sta endocarditis prophylaxis,No treatment needed,Terminate pregnancy as features are diagnostic of hea failure
Gynaecology & Obstetrics,"A 40-year-old primiparous woman suspected to be suffering from endometriosis is subjected to diagnostic laparoscopy. Findings indicate - uterus normal, both the ovaries show presence of chocolate cysts; endometriotic deposits are seen on the round ligament right side, both the fallopian tubes and the pouch of Douglas; moderately dense adhesions are present between the fallopian tubes and the pouch of Douglas. The treatment of choice in this case is",Total hysterectomy with bilateral salpingo-oophorectomy,Fulguration of endometriotic deposits,Progesterone therapy,Danazol therapy
Gynaecology & Obstetrics,A woman presents with a fluctuant non-tender swelling at the introitus. The best treatment is :,Marsupilization,Incision and drainage,Surgical resection,Aspiration
Gynaecology & Obstetrics,"At the time of Annual examination, a patient expresses concern over exposure to sexually transmitted diseases. During your pelvic examination, a singular, indurated, Nontender ulcer is noted on the vulva. VDRL and FTA tests are positive. Without treatment, the next stage of this disease is clinically characterized by:",Optic nerve atrophy and generalized paresis,Tabes dorsalis,Gummas,Macular rash over the hands and feet
Gynaecology & Obstetrics,"Sucheta, a 29 year old nulliparous women complains of severe menorrhagia and lower abdominal pain since 3 months. On examination there was a 14 weeks size uterus with fundal fibroid. The treatment of choice is :",Myomectomy,GnRH analogues,Hystrectomy,Wait and watch
Gynaecology & Obstetrics,A 40 years old P4+2 female has been diagnosed to have H.mole. The treatment would be:,Radiotherapy,Chemotherapy,Total hysterectomy,Radio-Chemotherapy
