id,question,answer,score
ab508393-9d3a-442e-970c-c11dc84088ec,A 85 yr old female developed multiple blisters on trunk and thighs. Nikolsky&;s sign is negative. The lesions came on and off. The most probable diagnosis is,"Bullous pemphigoid — an autoimmune blistering disorder of the elderly characterized by tense, recurrent bullae on the trunk and limbs with a negative Nikolsky sign.",1
1f44c028-cadc-44ce-a4d2-a0bbedf914fa,A Hand radiograph of a child given suggests the diagnosis of?,"I can’t determine the diagnosis without seeing the radiograph. Please upload the image or describe key findings (e.g., metaphyseal cupping/fraying and widened growth plates suggesting rickets, or dense metaphyseal lines/Pelkan spurs suggesting scurvy).",0.5
09ea0c6f-f9a6-4f8f-ba26-ada2bf04f236,"A patient presents with mental confusion, visual and auditory hallucinations, perceived changes of body shape, swelling of the tongue and a fear of impending death after he was treated for primary chancre of syphilis with an intramuscular injection. What is the likely diagnosis?",Hoigné’s syndrome (acute procaine penicillin reaction) due to inadvertent intravascular injection of procaine penicillin used for syphilis.,1
cea76f00-c75d-498c-baf5-b24a22f45b6b,A child presents with massive hemetemesis and systemic hypotension. He has no fever or other significant history. Examination reveal massive splenomegaly but no hepatomegaly. Likely diagnosis is,Extrahepatic portal vein obstruction causing non-cirrhotic portal hypertension with esophageal variceal bleed.,0.5
a8402ace-41cf-4dd8-b465-84bb2417f75c,A 45 year old male has multiple grouped vesicular lesions present on the TN segment dermatome associated with pain. The most likely diagnosis is,"Herpes zoster (shingles), i.e., dermatomal varicella‑zoster reactivation causing painful grouped vesicles.",1
e87dcbbc-8435-454a-9146-7fdf8e7e071e,"A 68-year-old male musician presents to the emergency department with a sudden onset of colicky abdominal pain and massive vomiting of 4-hour duration. Examination shows an elevated WBC of 13,200 with a HCT of 45%. Electrolytes and blood urea nitrogen (BUN) are normal. An erect film of the abdomen reveals dilatation of the stomach with distended loops of bowel. What is his clinical diagnosis?","Acute mechanical small-bowel obstruction (high/proximal), evidenced by colicky pain, profuse vomiting, leukocytosis, and gastric/small-bowel dilation on erect abdominal film. This is most consistent with a high SBO rather than colonic or purely gastric outlet obstruction.",0.9
cf2e8f9c-d451-4cfc-95dd-6200aaf03ac8,A patient with Hypeension presents with Hypokalemia. Aldosterone levels and Renin levels are both elevated. The most likely diagnosis is,"Secondary hyperaldosteronism, most commonly due to renovascular hypertension (renal artery stenosis).",0.5
a942906f-ed09-4b02-a88e-d246f207d122,"29 year old female with history of Sjogren's syndrome presents with a 2 day episode of watery diarrhea 2 days ago. Physical examination is unremarkable. Because of her history, the physician decides to check her urine electrolytes. Urine chemistry: K = 31, Na = 100, Cl = 105. Her current diagnosis is?","Distal (type 1) renal tubular acidosis due to Sjögren’s syndrome. The positive urine anion gap (Na + K − Cl = 26) indicates impaired NH4+ excretion, distinguishing it from diarrhea-related acidosis (which would have a negative UAG).",0.85
78057260-857c-478a-9027-bc6c60bf6163,"A 30 years old male presented with silvery scales on elbow and knee, that bleed on removal. The probable diagnosis is –","Psoriasis vulgaris (chronic plaque psoriasis), suggested by silvery scales on extensor surfaces with pinpoint bleeding on removal (Auspitz sign).",0.95
7a574efa-6ad2-461e-aa8c-56606a9e2541,"A homosexual person feels that ""he is a woman trapped in a man's body"" and has persistent discomfo with his sex. Most likely diagnosis is:",Gender dysphoria (formerly called gender identity disorder/transsexualism).,0.9
77bdb7cc-11c1-4571-9405-86e0674b6c83,"10 year old boy complaints of pain in right arm near the shoulder, x-ray shows expansile lytic lesion in upper third of humerus, what is the likely diagnosis.",Unicameral (simple) bone cyst of the proximal humerus. This is common in children and presents as a metaphyseal expansile lytic lesion.,0.95
ae5665ad-f852-4797-82ed-a43d2cc87561,"An infant presented with failure to thrive, stridor, otitis media and esophagitis. What is the most probable diagnosis?","Gastroesophageal reflux disease with laryngopharyngeal reflux (infant GERD), which can cause failure to thrive, stridor, recurrent otitis media, and esophagitis.",1
512ce60e-6c09-417d-91b3-e1d2f0d539b6,"A patient presents in the causality with history of abdominal pain. On examination the person is in shock, with severe abdominal tenderness and guarding. There was also one episode of bloody diarrhoea. He gives a history of recurrent abdominal pain soon after taking food which persists for about 3 hours after food. He also has a history of MI about 5 years back. What is your diagnosis?",Acute mesenteric ischemia with bowel infarction—most likely superior mesenteric artery thrombosis on a background of chronic mesenteric ischemia (“intestinal angina”) given post‑prandial pain and atherosclerotic history.,0.9
b211a7fe-1a8f-48a5-9951-b2558963e2c6,"Ramu age 10 years, present with itching in his eye, foreign body sensation and ropy discharge since several months. These symptoms are more prominent in summer. Most probable diagnosis is -",Vernal keratoconjunctivitis (spring catarrh) — a seasonal allergic conjunctivitis in children with intense itching and ropy/stringy mucous discharge.,0.85
543b414e-7103-4b2b-91cc-5545926a9b7d,"A 35-year patient recalls episodes where he smells a pungent odor, becomes sweaty and loses consciousness. His family member says while unconscious he was having facial twitching with lip-smacking movements. What is the most probable diagnosis?",Temporal lobe epilepsy (focal impaired-awareness/complex partial seizures) with an olfactory aura (uncinate fits) and automatisms like lip smacking.,0.85
d15f7cba-283c-4014-96b5-cdb6a4e53f55,A patient came to casualty for acute bronchial asthma after treatment for glaucoma. The probable drug may be,Timolol eye drops (a nonselective beta-blocker) used for glaucoma can precipitate bronchospasm and trigger acute asthma.,1
52218ca8-bf46-407e-973b-94989c5e7fc9,A 27 year old sexually active male develops a vesicobullous lesion on the glans soon after taking tab paracetamol for fever. The lesion healed with hyper pigmentation. The most likely diagnosis is:,"Fixed drug eruption (likely paracetamol-induced), classically on the glans with vesicobullous lesions that recur on re-exposure and heal with hyperpigmentation.",1
897920f2-ed35-4fbb-a5fc-bda825e39195,"A child presented to the emergency depament with seizures. On examination oval hypopigmented macules were noted on the trunk, along with sub-normal IQ. What is the probable diagnosis?","Tuberous sclerosis complex (Bourneville disease). The combination of seizures, subnormal IQ, and oval hypopigmented “ash leaf” macules is characteristic.",1
21766122-395b-426f-9408-64c57c145ed0,"A HIV positive patient presents with cough for 10 days. Sputum culture by SDA reveals broad budding yeast, diagnosis:",Pulmonary blastomycosis due to Blastomyces dermatitidis (broad-based budding yeast).,0.9
e334bea4-d412-459f-8c01-d8b391102dc9,A young woman presents with delayed cycles and abnormal growth of hair on face. On USG ovaries are normal. What is the most probable diagnosis?,"Nonclassic (late‑onset) congenital adrenal hyperplasia due to 21‑hydroxylase deficiency causing adrenal hyperandrogenism.  
Hirsutism with oligomenorrhea and normal ovarian US favors an adrenal source; check early‑morning 17‑hydroxyprogesterone.",0.5
b2dbe8ac-5af8-4362-9f0f-a9cf94bfedba,"A patient with microcytic hypochromic anemia. Hb-9 g%, serum iron-20 microg/dl, ferritin level-800 ng/ml, transferrin percentage saturation is 64%. What is possible diagnosis?","Sideroblastic anemia (iron overload state) is most likely, given the very high ferritin and transferrin saturation despite microcytosis; this pattern is not consistent with iron deficiency or classic anemia of chronic disease. Consider causes such as lead toxicity, alcohol, B6 deficiency, or myelodysplasia.",0.5
1147973b-6b69-4447-ad7a-23ac66cfd08d,"A 25 yr old female presented with malaise and generalized weakness since 6 months. Her appetite is reduced and she has giddiness and palpitations on and off. There was no organomegaly. Laboratory study showed normochromic to hypochromic anaemia, RDW=60, and MCV=50. What is the diagnosis ?","Iron deficiency anemia (severe microcytic, hypochromic type); the very low MCV with markedly elevated RDW favors IDA over thalassemia trait.",1
33fbdee5-585d-42f9-9e9a-6478cb853b32,"A 30-year-old male, Kallu, with a history of sexual exposure comes with a painless indurated ulcer over the penis with everted margins. The diagnosis is",Primary syphilis (hard chancre) due to Treponema pallidum.,0.9
bc50d685-8468-4b36-86a5-dbf5f45a3b65,A patient with peptic ulcer disease undergone billroth 2  gastrectomy. Later the patient presented with postprandial pain. On endoscopy oedematous and inflamed gastric mucosa has been found. What is the  preferred diagnosis,"Alkaline (bile) reflux gastritis.  
Post-Billroth II duodenogastric reflux leads to postprandial pain with edematous, inflamed gastric mucosa on endoscopy.",1
e875d41c-f9a2-4fb0-bd6a-308b7dc01472,"A patient has Hb 6 gm% folic acid 82g/ml, vitamin B12 60 pg/ml, serum iron 180g/dl, and MCV-104.The diagnosis is -","Megaloblastic (macrocytic) anemia due to vitamin B12 deficiency.  
Folate is normal/high and MCV is elevated, pointing to B12 deficiency—likely pernicious anemia.",0.9
18221aab-d0e9-4194-98aa-3aad32aef0a0,A 21 year old student is found to have hyperthyroidism. She is counselled on treatment options including radioactive iodine and antithyroid medications. Carbimazole acts on which part of the thyroid hormone synthesis pathway?,"Carbimazole (converted to methimazole) inhibits thyroid peroxidase, blocking iodide organification and the coupling of MIT and DIT on thyroglobulin to form T3 and T4.",0.8
85a88804-96b9-42ec-93b8-a13c0b2daaf1,"A child presented with a history of unilateral purulent nasal discharge with occasional bloody discharge from the same side, The diagnosis is -","Nasal foreign body causing unilateral purulent, sometimes bloody, discharge.",1
78e4e592-fc6f-48a0-98f9-e69be5954971,"For a patient undergoing anticoagulant therapy, who requires unavoidable dental surgical treatment, the dental surgeon should:","Do not stop anticoagulation routinely; liaise with the physician and check INR if on warfarin (proceed if ≤3–3.5) or time/withhold a single DOAC dose if needed, then perform the procedure with meticulous local hemostasis (atraumatic technique, sutures, hemostatic agents, tranexamic mouthwash). Avoid NSAIDs for analgesia (use acetaminophen) and plan early-day, staged treatment if extensive.",0.9
b9321602-1020-4daa-9653-4b91bee1122c,"A 10 year old male child presents with pallor and h/o blood transfusion 2 months back. On investigation, Hb-4.5 gms, Total count-60,000,Platelet count-2 lakhs and CD 10+ve, CD 19+ve, CD 117 +ve, MPO +ve and CD 33 -ve. What is the most probable diagnosis?","Mixed phenotype acute leukemia (MPAL), B/myeloid type (biphenotypic), given CD19/CD10 positivity with MPO positivity.",0.8
28f7a6eb-c4c9-4b80-80e2-b0a93ab65941,"A female patient after injury comes to casualty. Her ABG shows low pH, pCO2 high, bicarbonate normal. The diagnosis is:","Acute respiratory acidosis (uncompensated), due to hypoventilation—low pH with elevated pCO2 and normal bicarbonate indicates no renal compensation yet.",1
b7819b96-5708-4994-b4c8-1827e9f29baf,A 36 years old factory worker developed itchy annular scaly plaques in both groins. Application of a caicosteroid ointment led to temporarY relief but the plaques continued to extend at the periphery. The most likely diagnosis is -,"Tinea cruris (dermatophyte “jock itch”), likely steroid‑modified (tinea incognito).",1
e827df10-5b3b-4869-8ec5-0c52abbe8819,"A 3 year male presented with progressive anemia, hepatosplenomegaly and osteomyelitis of jaw with pathological fracture, x-ray shows chalky white deposits on bone, probable diagnosis is",Osteopetrosis (marble bone disease/Albers-Schönberg disease).,1
d549d61f-9475-485e-a92e-8e05b9372ac0,Imiquimod used in treatment of anogenital warts acts manly as –,An immunomodulator—primarily a Toll‑like receptor 7 agonist that induces interferon‑α and other cytokines to enhance cell‑mediated immunity.,0.75
638f0292-d878-4116-b7bf-e3a92889ec1d,Name the procedure shown here in ureter:,"I can’t see the image—please upload it or describe the key features (e.g., pigtail stent, contrast outlining ureter, scope/stone extraction) so I can name the procedure.",0
52efd5db-a990-4e5e-ad4b-8b459cc506a6,"A 9 yr old child came to the dental clinic with spacing in
anterior teeth. The line of treatment is","Reassure and observe—this is usually the physiologic “ugly duckling stage” that closes as permanent canines erupt. Investigate and treat only if there’s a cause (e.g., mesiodens, abnormal frenum) or if a diastema >2 mm persists after canine eruption.",0.8
4ca5937d-a090-4222-a0bc-91b32c4a7c9f,A 65 yr. old man developed severe acute onset breathlessness within few hours of an aortic valve replacement. X-Ray diagnosis is?,Acute pulmonary edema (flash pulmonary edema) due to postoperative left ventricular failure—CXR shows bilateral perihilar “bat-wing” alveolar opacities.,0
20442569-e3fd-409b-93f9-d92923cd6b15,First line treatment of T315I mutation in CML management is?,Ponatinib is the TKI of choice for T315I-mutated CML; consider early referral for allogeneic stem cell transplant if eligible.,1
b2a9a600-a583-4d2b-967c-759dcd1e4f7c,"A 28-year-old man is evaluated in the primary care office for new onset rash on both legs for 1 week. He is a healthy person with no past medical illness and is not taking any medications. There is no history of recent fever but he has noticed occasional gum bleeding and one episode of nosebleed 4 days ago. He does not smoke, drinks alcohol only socially, and does not use any recreational drug. On physical examination, he is a healthy appearing man with no lymphadenopathy or hepatosplenomegaly. Laboratory studies reveal hemoglobin 14.8 gm/dL, hematocrit 42, MCV 86 fL, leukocyte count 6,000/mL, and platelet 22,000/mL. Liver function and renal function studies are normal. Peripheral smear reveals decrease in platelet count and no red cell abnormalities. What is the most probable diagnosis?","Immune thrombocytopenic purpura (ITP), given isolated severe thrombocytopenia with mucocutaneous bleeding, normal other cell lines, and no organomegaly or systemic illness.",1
055dbeb3-89c2-4aaf-b196-b0a836199ffb,"A 3 year old girl with normal developmental milestones except that she staed speaking by the age of four. She does not play with other children and wants to eat, play and sleep in her own way. She often has temper tantrums related to any new changes. What is the likely diagnosis?","Autism spectrum disorder (childhood autism) is most likely, given delayed speech, poor social interaction, and distress with changes/rigid routines.",1
001b679a-383e-4fa3-87b6-ffcc0fb63dc7,Baby born to patient suspected of chlamydial infection sample to be taken for diagnosis?,"Collect a conjunctival swab (or scraping) from the newborn for C. trachomatis NAAT/PCR; if there are respiratory symptoms, also send a nasopharyngeal swab/aspirate for NAAT.",0.75
d3d5ad61-ae30-4a0f-b346-03d130cad2e3,"A 30 year old male came with complains of unilateral blurred vision with floaters since 15 days. On examination, AC flare and cells were seen with 'headlight in fog' appearance on indirect ophthalmoscopy. Also, a single inflammatory focus of fluffy retinochoroiditis lesion is seen. What is the diagnosis?",Ocular toxoplasmosis (Toxoplasma retinochoroiditis) presenting with the classic “headlight in the fog” appearance.,0.95
54fc510d-e37c-4bab-b731-f60058bef85d,A 9 months old child is brought to you in the emergency with complaints of cough and coryza since last 2 days. Since last 1 day child is having noisy breathing which increases on crying. On examination you find a stridor which the mother was explaining as noisy breathing. What is your diagnosis?,Viral croup (acute laryngotracheobronchitis) — the typical cause of inspiratory stridor that worsens with crying following a URI in this age group.,1
9d8f095e-62de-4abd-acc7-f6946beeb989,"A patient presenting with history of diarrhoea for several years with recent onset pruritus and raised alkaline phosphatase, normal SGOT/PT and USG shows no gallstones and biliary tract abnormality, the diagnosis is","Primary sclerosing cholangitis (PSC), likely in association with long-standing inflammatory bowel disease (e.g., ulcerative colitis), given cholestatic pruritus with raised ALP and a normal ultrasound.",0.95
08f1557d-a1ac-4424-9b0b-0d5928fd5905,"A 20-year-old woman presents with bilateral conductive deafness, palpable purpura on the legs and hemoptysis. Radiograph of the chest shows a thin-walled cavity in left lower zone. Investigations reveal total leukocyte count 12,000/mm red cell casts in the urine and 12,000/mm serum creatinine 3 ing/dL. What is the most probable diagnosis ?",Granulomatosis with polyangiitis (Wegener’s) — a c‑ANCA–associated small‑vessel vasculitis causing pulmonary‑renal syndrome with ENT involvement and cavitary lung lesions.,1
e62924b6-baaa-4f0e-924e-5d8a64114e32,"After a leisure trip, a patient comes with gritty pain in eye, and joint pain. What is the most probable diagnosis?","Reactive arthritis (Reiter’s syndrome) — conjunctivitis causing a gritty eye sensation with joint pain, often triggered by a recent GI/GU infection after travel.",1
86ba5921-fef1-4edc-8aa4-13878099ffae,"A 74 yr old male patient was brought to the OPD by his daughter complaining of urinary incontinence and ataxia, also he has difficulty in calculating simple arithemetics and memory loss. What is the probable diagnosis","Normal pressure hydrocephalus (NPH), characterized by the triad of gait disturbance/ataxia, urinary incontinence, and cognitive decline.",1
98095171-2883-40ae-a76e-a4f498a52ee3,A 45-year-old male with history of recurrent ureteric calculi presented with fever. Right-sided nephrectomy was performed. Gross view and histology have been provided. What is your diagnosis?,Xanthogranulomatous pyelonephritis. This chronic destructive infection is classically associated with obstructing calculi and shows yellow nodules grossly with sheets of foamy histiocytes on histology.,0.5
8d205524-0254-4768-9a29-6fff52e5482e,12 years male came with swelling of lower end tibia which is surrounded by rim of reactive bone. What is most likely diagnosis?,Brodie’s abscess (subacute osteomyelitis with a lytic lesion surrounded by a sclerotic reactive rim).,1
91a601bc-050f-4287-aad7-7f2a2a4c5b49,"A young female presents with history of dyspnoea on exeion. On examination, she has wide, fixed split S2 with ejection systolic murmur (IIINI) in left second intercostal space. Her ECG shows left axis detion. The most probable diagnosis is ?","Ostium primum atrial septal defect (partial AV canal).  
The fixed wide split S2 with an ejection murmur and left axis deviation on ECG is classic for primum ASD (as opposed to secundum ASD, which usually has right axis).",1
4088a7e1-ae95-47b4-a20f-9183f4c300c5,What is the most common surgical complication following whipple procedure ?,"Delayed gastric emptying (DGE) is the most common complication after a Whipple procedure, often occurring in 20–40% of patients.",0.5
a7838452-37fb-492a-87bd-93b72fb2b693,A 6 year old boy presenting with palpable abdominal mass in the epigastrium. The clinical diagnosis is (There is no bile in vomitus)-,Infantile hypertrophic pyloric stenosis (pyloric “olive”) causing non‑bilious vomiting.,0.7
daea0b5f-6755-4d65-8e47-4312cbb29729,"In addition to the effects of weight loss, the resolution of type 2 diabetes mellitus after the gastric sleeve procedure and RYGB is thought to be contributed to by ?",Enhanced incretin signaling from altered gut physiology—especially increased GLP-1 and PYY and reduced ghrelin—improves insulin secretion and sensitivity independent of weight loss. Additional contributors include altered bile acid signaling and changes in the gut microbiota.,1
