id,question,answer,score
0658ba44-7b65-4e71-b439-95653608ddd2,What is the probable diagnosis in a patient with a dilated pupil not responsive to 1% pilocarpine,The probable diagnosis for a patient with a dilated pupil not responsive to 1% pilocarpine is Adie's tonic pupil or pharmacologically dilated pupil (as from drugs like atropine or scopolamine).,0.5
4fd5e89b-9ec7-4917-9c75-e46af0336940,An 18 yr old male presents with massive hematemesis; he has history of fever for the past 14 days for which he was managed with drugs; moderate splenomegaly is present; diagnosis is:,The symptoms suggest a diagnosis of Infectious Mononucleosis. Further tests would be needed to confirm.,0
1ef63795-7bef-4c88-8824-9d6ea36b147c,"A patient developed breathlessness and chest pain, on second postoperative day after a total hip replacement. Echo-cardiography showed right ventricular dilatation and tricuspid regurgitation. What is the most likely diagnosis?","The patient is likely experiencing a Pulmonary Embolism, as indicated by the symptoms of breathlessness, chest pain, and findings of right ventricular dilatation and tricuspid regurgitation.",1
a29bb139-1b53-463c-b01d-8c6404f7f06d,"30 year old patient with pain in right hypochondrium for 5 days with soft and tender liver and intercostal tenderness. He complains of catch in breath on inspiration and has a non productive cough. On examination the lung fields are clear, patient looks pale and emaciated. Probable diagnosis is","This patient may have pleurisy caused by an underlying issue with the liver, potentially hepatic disease or hepatitis. Please advise this patient to consult a doctor for further examination and testing.",0.5
adbbdcc1-24c8-4e6c-9f6f-00a7c65a9ca7,A patients complains of occasional vomiting of food paicles eaten a few days ago. His wife repos that his breath smells foul. The most likely diagnosis is ?,"The most likely diagnosis is gastroesophageal reflux disease (GERD) or a possible gastric outlet obstruction. However, further medical examination is necessary to confirm.
",0.5
dbdd7db5-6c9e-4978-8de8-2fc2b07fcbd7,"A young girl presents with primary amenorrhoea, grade V thelarche, grade II pubarche and no axillary hair. The most probable diagnosis is","The most probable diagnosis for this girl could be Turner syndrome, a condition that affects only females, resulted from a missing or incomplete sex chromosome.",0
080139cb-a495-44a8-908e-26689b910af6,"After a leisure trip, a patient comes with gritty pain in eye, and joint pain following an episode of urinary infection. What is the most probable diagnosis?","The most probable diagnosis is Reactive Arthritis, also known as Reiter's syndrome.",1
2a8e61f3-085c-4603-b331-de0078d6e5f9,"A 12-year-old boy had a gradually progressive plaque on a buttock for the last 3 years. The plaque was 15 cm in diameter, annular in shape, with crusting and induration at the periphery and scarring at the centre. The most likely diagnosis –","The most likely diagnosis could be Chronic Granuloma Annulare. However, it also suggests Tinea Corporis or fungal infection, but it needs a proper medical consultation and examination.",0.3
912a667d-7314-4e2a-8c61-254829eae221,What is the most probable diagnosis for on the x-ray of a 20 year old female who came with knee swelling,"Without specific details from the X-ray, it's difficult to give a diagnosis. However, common conditions in young adults could include patellar tendonitis, meniscal injuries, or early signs of arthritis.",0.5
de231299-c4b5-4980-88ca-3dd828085789,A patient with primary Sjogren syndrome treated with tear replacement for symptomatic relief notes continued parotid swelling for the last 3 months. She also has enlarged posterior cervical lymph nodes. Evaluation shows leukopenia and low C4 complement levels. What is the most likely diagnosis?,"The most likely diagnosis is lymphoma, which is a known complication of Sjogren syndrome. The presence of persistent salivary gland swelling, lymphadenopathy, leukopenia, and hypocomplementemia are concerning for this complication.",1
eb216a2d-ec98-4e03-8ac8-de3c93bc6d1b,A 66 year old female is posted for subtotal gastrectomy for adenocarcinoma. The important procedure related complication:,"The important procedure-related complication for subtotal gastrectomy for adenocarcinoma can be surgical site infections, anastomotic leak, hemorrhage, gastric dumping syndrome or nutritional deficiencies due to malabsorption.",0.5
9638270b-74f0-400b-b3e8-dcc8612cf736,"A 2 day old newborn baby presented with microcephaly, macroglossia, visceromegaly and a blood glucose level of 20 mg/dl. What is the most likely diagnosis","The most likely diagnosis for this newborn could be Beckwith-Wiedemann Syndrome, however, consultation with a pediatrician is necessary for a proper diagnosis.",0.9
d8c67c14-63a4-4fb2-b360-b301b0e803ab,"Recurrent aboion occurs in a woman, USG abdomen shows a non-echoic region in the central pa of the uterus. What is the probable diagnosis","The probable diagnosis could be Asherman's syndrome, which is characterized by intrauterine adhesions or fibrosis, typically presenting as a non-echoic region in ultrasound imaging. However, a definitive diagnosis would require further investigations.",0.5
c79ceb7e-0bc4-465d-99d4-dec847224acb,"A 22 year old woman developed small itchy wheals after physical exeion, walking in the sun, eating hot spicy food and when she was angry. The most likely diagnosis is:","The most likely diagnosis is chronic idiopathic urticaria, which is a type of hives triggered by various factors including heat, stress, and spicy foods.",0.5
fbe5853c-1451-4c8b-a6ab-f5b573f17e50,"A 35 yr old male female singer presents with complains of hoarseness, vocal fatigue & pain in neck on prolonged phonation. Direct laryngoscopy shows bilateral pin head size swelling on Ant.1/3 & post 2/3 junction of vocal cord. What could be the probable diagnosis ?","The probable diagnosis could be vocal nodules or ""singer's nodes,"" which are benign lesions on the vocal cords often caused by vocal strain or overuse.",1
fb7347a0-1f01-462e-965d-5d8cb34eafed,"A 42 yearold female has palpable purpura with rash over buttocks, pain in abdomen, and ahropathy diagnosis is -","The symptoms suggest Henoch-Schonlein Purpura (HSP), an inflammation of the small blood vessels.",1
b8364251-5fbb-46d0-85ee-9c0a869f2e54,"A 8.5-year-old child with missing 11 reported to your clinic. 21 erupted at 6.5 years of age. The child had trauma to 21, 4 months back and got it endodontically treated for that. What is your further treatment about missing teeth?","The further treatment plan would likely include monitoring the dental growth and development of the child, considering orthodontic intervention to manage space for future eruption of adult teeth, and possibly use of a space maintainer due to the missing tooth (11). Always consult with a dental professional for the best course of action.",0.5
60566198-b289-4c99-a6e8-e44d12f1512b,"A 3-year-old girl has normal developmental milestones except the delay in speech. She has difficulty in concentration, communication and relating to others and does not make friends but plays with herself. Likely diagnosis is","The likely diagnosis is Autism Spectrum Disorder (ASD), specifically high-functioning autism or Asperger's Syndrome.",0.9
c3dd9e0b-0333-4c4a-b8af-b9b462ad44ca,Diagnostic procedure for basal cell Ca -,"The diagnostic procedure for Basal Cell Carcinoma (BCC) typically involves a dermatologic examination, followed by a skin biopsy where a small sample of the suspicious skin is removed and examined under a microscope.",0.5
0616c548-a40e-4ad3-952d-a1f3a9d67ecf,"A patient presented in casualty with a history of sudden onset palpitation, sensation of impending doom and constriction in his chest. This lasted for about 10-15 minutes after which he became all right. What is the MOST likely diagnosis?",The patient most likely experienced a panic attack.,1
20d211b9-a4b1-4b39-8fc4-163bb59cccd6,An 18-year-old presents with a well- circumscribed 2 cm mass in her right breast. The mass is painless and has a rubbery consistency and discrete borders. It appears to move freely through the breast tissue. What is the likeliest diagnosis?,"The likeliest diagnosis is a fibroadenoma, a common benign breast condition in young women.",1
9c545cc6-5217-4737-a1c9-c6e31942ca2b,A child comes with cyanotic spells and chest X-ray was as shown below; What is the most probable diagnosis?,"As an AI, I can't physically see or examine images. Please describe the key features observed in the X-ray for an accurate assessment.",0.5
5c5ad07d-9c1c-4f0b-b60a-967182ae19a4,"A patient presented with abdominal pain, jaundice and melena. The diagnosis is","The symptoms suggest a potential liver or digestive system disorder, possibly liver disease or peptic ulcer disease. Please consult a healthcare professional for a final diagnosis.",0.5
ab508393-9d3a-442e-970c-c11dc84088ec,A 85 yr old female developed multiple blisters on trunk and thighs. Nikolsky&;s sign is negative. The lesions came on and off. The most probable diagnosis is,"The most probable diagnosis could be Bullous Pemphigoid, a skin disease common in older adults and characterized by recurrent blisters. 
",1
1f44c028-cadc-44ce-a4d2-a0bbedf914fa,A Hand radiograph of a child given suggests the diagnosis of?,"As an AI, I need specific details about observations from the radiograph in order to provide an accurate potential diagnosis. ""Hand radiograph of a child"" is not enough information to determine a diagnosis.",0.0
09ea0c6f-f9a6-4f8f-ba26-ada2bf04f236,"A patient presents with mental confusion, visual and auditory hallucinations, perceived changes of body shape, swelling of the tongue and a fear of impending death after he was treated for primary chancre of syphilis with an intramuscular injection. What is the likely diagnosis?","The patient is likely experiencing Jarisch-Herxheimer reaction, an immune response after antibiotic treatment for syphilis.",0
cea76f00-c75d-498c-baf5-b24a22f45b6b,A child presents with massive hemetemesis and systemic hypotension. He has no fever or other significant history. Examination reveal massive splenomegaly but no hepatomegaly. Likely diagnosis is,"The likely diagnosis is a condition related to the spleen, possibly Splenic Vein Thrombosis or a type of splenic hemangioma. Urgent medical care is required.",0.5
a8402ace-41cf-4dd8-b465-84bb2417f75c,A 45 year old male has multiple grouped vesicular lesions present on the TN segment dermatome associated with pain. The most likely diagnosis is,"The most likely diagnosis is Herpes Zoster, also known as Shingles.",0.9
e87dcbbc-8435-454a-9146-7fdf8e7e071e,"A 68-year-old male musician presents to the emergency department with a sudden onset of colicky abdominal pain and massive vomiting of 4-hour duration. Examination shows an elevated WBC of 13,200 with a HCT of 45%. Electrolytes and blood urea nitrogen (BUN) are normal. An erect film of the abdomen reveals dilatation of the stomach with distended loops of bowel. What is his clinical diagnosis?","The clinical diagnosis is likely to be bowel obstruction, caused by something such as a hernia, diverticulitis, or tumor. The presence of both colicky abdominal pain and bowel dilation are indicative of this condition.",0.8
cf2e8f9c-d451-4cfc-95dd-6200aaf03ac8,A patient with Hypeension presents with Hypokalemia. Aldosterone levels and Renin levels are both elevated. The most likely diagnosis is,"The most likely diagnosis is Primary Hyperaldosteronism or Conn's syndrome.
",0
a942906f-ed09-4b02-a88e-d246f207d122,"29 year old female with history of Sjogren's syndrome presents with a 2 day episode of watery diarrhea 2 days ago. Physical examination is unremarkable. Because of her history, the physician decides to check her urine electrolytes. Urine chemistry: K = 31, Na = 100, Cl = 105. Her current diagnosis is?","This patient possibly has renal tubular acidosis (RTA), a common complication of Sjogren's syndrome, which could explain her symptoms and abnormal urine electrolytes.
",1
78057260-857c-478a-9027-bc6c60bf6163,"A 30 years old male presented with silvery scales on elbow and knee, that bleed on removal. The probable diagnosis is –","The probable diagnosis is psoriasis, a chronic skin condition characterized by thick, scaly patches.",1
7a574efa-6ad2-461e-aa8c-56606a9e2541,"A homosexual person feels that ""he is a woman trapped in a man's body"" and has persistent discomfo with his sex. Most likely diagnosis is:",The most likely diagnosis is gender dysphoria.,0.5
77bdb7cc-11c1-4571-9405-86e0674b6c83,"10 year old boy complaints of pain in right arm near the shoulder, x-ray shows expansile lytic lesion in upper third of humerus, what is the likely diagnosis.","The likely diagnosis for the 10-year-old boy is a bone cyst, specifically a unicameral (or simple) bone cyst.",1
ae5665ad-f852-4797-82ed-a43d2cc87561,"An infant presented with failure to thrive, stridor, otitis media and esophagitis. What is the most probable diagnosis?",The most probable diagnosis could be Laryngopharyngeal Reflux (LPR).,0.5
512ce60e-6c09-417d-91b3-e1d2f0d539b6,"A patient presents in the causality with history of abdominal pain. On examination the person is in shock, with severe abdominal tenderness and guarding. There was also one episode of bloody diarrhoea. He gives a history of recurrent abdominal pain soon after taking food which persists for about 3 hours after food. He also has a history of MI about 5 years back. What is your diagnosis?","Based on the symptoms and medical history, the diagnosis could be Mesenteric Ischemia or Acute Mesenteric Arterial Embolism/Thrombosis. However, a confirmation can only be made by appropriate tests and imaging studies.",0.7
b211a7fe-1a8f-48a5-9951-b2558963e2c6,"Ramu age 10 years, present with itching in his eye, foreign body sensation and ropy discharge since several months. These symptoms are more prominent in summer. Most probable diagnosis is -","The most probable diagnosis for Ramu could be Vernal Keratoconjunctivitis (VKC), a seasonal eye disorder often more prominent in warm weather.",0.9
543b414e-7103-4b2b-91cc-5545926a9b7d,"A 35-year patient recalls episodes where he smells a pungent odor, becomes sweaty and loses consciousness. His family member says while unconscious he was having facial twitching with lip-smacking movements. What is the most probable diagnosis?",The symptoms described suggest that the most probable diagnosis is Temporal Lobe Epilepsy.,0.5
d15f7cba-283c-4014-96b5-cdb6a4e53f55,A patient came to casualty for acute bronchial asthma after treatment for glaucoma. The probable drug may be,The probable drug causing the acute bronchial asthma could be beta-blockers that were used for the treatment of glaucoma.,0.5
52218ca8-bf46-407e-973b-94989c5e7fc9,A 27 year old sexually active male develops a vesicobullous lesion on the glans soon after taking tab paracetamol for fever. The lesion healed with hyper pigmentation. The most likely diagnosis is:,"The most likely diagnosis is Fixed Drug Eruption, a condition characterized by recurring lesions resulting from a systemic exposure to a drug, in this case, paracetamol.",1
897920f2-ed35-4fbb-a5fc-bda825e39195,"A child presented to the emergency depament with seizures. On examination oval hypopigmented macules were noted on the trunk, along with sub-normal IQ. What is the probable diagnosis?","The probable diagnosis is Tuberous Sclerosis, a genetic disorder marked by growth of numerous noncancerous tumors, often causing seizures and intellectual disability.",1
21766122-395b-426f-9408-64c57c145ed0,"A HIV positive patient presents with cough for 10 days. Sputum culture by SDA reveals broad budding yeast, diagnosis:","The diagnosis could be Pneumocystis jirovecii pneumonia or a fungal infection, possibly Cryptococcus neoformans, which is common in HIV patients.
",0.3
e334bea4-d412-459f-8c01-d8b391102dc9,A young woman presents with delayed cycles and abnormal growth of hair on face. On USG ovaries are normal. What is the most probable diagnosis?,"The most probable diagnosis could be Polycystic Ovary Syndrome (PCOS), even if the ovaries appear normal on an ultrasound. Despite its name, not all women with PCOS have cysts on their ovaries.",0.9
b2dbe8ac-5af8-4362-9f0f-a9cf94bfedba,"A patient with microcytic hypochromic anemia. Hb-9 g%, serum iron-20 microg/dl, ferritin level-800 ng/ml, transferrin percentage saturation is 64%. What is possible diagnosis?","The patient's high ferritin level and transferrin saturation, with low serum iron might suggest anemia of chronic disease (inflammation) or sideroblastic anemia. However, specific diagnosis would need further tests and doctor's clinical interpretation.
",0.5
1147973b-6b69-4447-ad7a-23ac66cfd08d,"A 25 yr old female presented with malaise and generalized weakness since 6 months. Her appetite is reduced and she has giddiness and palpitations on and off. There was no organomegaly. Laboratory study showed normochromic to hypochromic anaemia, RDW=60, and MCV=50. What is the diagnosis ?","The symptoms along with the lab results indicating normochromic to hypochromic anaemia, high RDW, and low MCV suggest she may have Iron deficiency anemia.",1
33fbdee5-585d-42f9-9e9a-6478cb853b32,"A 30-year-old male, Kallu, with a history of sexual exposure comes with a painless indurated ulcer over the penis with everted margins. The diagnosis is","The symptoms described suggest Kallu may have primary syphilis, a sexually transmitted infection. Please advise him to see a healthcare professional for confirmation and treatment.",0.8
bc50d685-8468-4b36-86a5-dbf5f45a3b65,A patient with peptic ulcer disease undergone billroth 2  gastrectomy. Later the patient presented with postprandial pain. On endoscopy oedematous and inflamed gastric mucosa has been found. What is the  preferred diagnosis,"The preferred diagnosis could likely be ""dumping syndrome"" or ""alkaline reflux gastritis"", both are common complications after Billroth II gastrectomy.",0.5
e875d41c-f9a2-4fb0-bd6a-308b7dc01472,"A patient has Hb 6 gm% folic acid 82g/ml, vitamin B12 60 pg/ml, serum iron 180g/dl, and MCV-104.The diagnosis is -","The patient appears to be suffering from Macrocytic anemia, likely due to vitamin B12 deficiency or folic acid deficiency.",0.5
18221aab-d0e9-4194-98aa-3aad32aef0a0,A 21 year old student is found to have hyperthyroidism. She is counselled on treatment options including radioactive iodine and antithyroid medications. Carbimazole acts on which part of the thyroid hormone synthesis pathway?,"Carbimazole inhibits the enzyme thyroid peroxidase, which plays a key role in the synthesis of thyroid hormones by catalyzing the iodination of tyrosine residues in thyroglobulin.",0.7
85a88804-96b9-42ec-93b8-a13c0b2daaf1,"A child presented with a history of unilateral purulent nasal discharge with occasional bloody discharge from the same side, The diagnosis is -","The child may have a condition known as unilateral choanal atresia or foreign body in the nostril. However, further diagnostic tests are necessary for a definitive diagnosis.",0.5
78e4e592-fc6f-48a0-98f9-e69be5954971,"For a patient undergoing anticoagulant therapy, who requires unavoidable dental surgical treatment, the dental surgeon should:",The dental surgeon should closely coordinate with the patient's primary care physician or cardiologist to manage anticoagulant dosage before and after the dental procedure. It is essential to maintain a balance between preventing thromboembolic events and minimizing bleeding risks.,0.9
b9321602-1020-4daa-9653-4b91bee1122c,"A 10 year old male child presents with pallor and h/o blood transfusion 2 months back. On investigation, Hb-4.5 gms, Total count-60,000,Platelet count-2 lakhs and CD 10+ve, CD 19+ve, CD 117 +ve, MPO +ve and CD 33 -ve. What is the most probable diagnosis?","The most probable diagnosis is Acute Lymphoblastic Leukemia (ALL), considering the child's age, blood transfusion history, low hemoglobin, high total count, and positive CD10, CD19 and CD117 markers.",0.5
28f7a6eb-c4c9-4b80-80e2-b0a93ab65941,"A female patient after injury comes to casualty. Her ABG shows low pH, pCO2 high, bicarbonate normal. The diagnosis is:","The diagnosis is likely to be respiratory acidosis, given the findings of low pH (acidemia) and high pCO2 (hypercapnia).
",1
b7819b96-5708-4994-b4c8-1827e9f29baf,A 36 years old factory worker developed itchy annular scaly plaques in both groins. Application of a caicosteroid ointment led to temporarY relief but the plaques continued to extend at the periphery. The most likely diagnosis is -,"The most likely diagnosis is Tinea Cruris, also known as Jock Itch.",1
e827df10-5b3b-4869-8ec5-0c52abbe8819,"A 3 year male presented with progressive anemia, hepatosplenomegaly and osteomyelitis of jaw with pathological fracture, x-ray shows chalky white deposits on bone, probable diagnosis is","The probable diagnosis is Infantile Cortical Hyperostosis, also known as Caffey Disease.",0
d549d61f-9475-485e-a92e-8e05b9372ac0,Imiquimod used in treatment of anogenital warts acts manly as –,"Imiquimod acts mainly as an immune response modifier, stimulating the body's own immune system to fight against conditions such as anogenital warts.",1
638f0292-d878-4116-b7bf-e3a92889ec1d,Name the procedure shown here in ureter:,"As an AI text-based model, I'm unable to see or analyze images. However, I can help answer any text-based medical questions you have about procedures related to the ureter.",0
52efd5db-a990-4e5e-ad4b-8b459cc506a6,"A 9 yr old child came to the dental clinic with spacing in
anterior teeth. The line of treatment is","The line of treatment typically includes orthodontic treatment such as braces, or in some cases, observation, as the spaces may naturally close as the child's permanent teeth come in.",0.5
4ca5937d-a090-4222-a0bc-91b32c4a7c9f,A 65 yr. old man developed severe acute onset breathlessness within few hours of an aortic valve replacement. X-Ray diagnosis is?,"The X-Ray diagnosis could potentially indicate acute pulmonary edema or postoperative lung complications such as atelectasis or pneumonia. Please consult a medical professional for a full assessment.
",0.3
20442569-e3fd-409b-93f9-d92923cd6b15,First line treatment of T315I mutation in CML management is?,The first-line treatment for T315I mutation in Chronic Myeloid Leukemia (CML) is Ponatinib.,1
b2a9a600-a583-4d2b-967c-759dcd1e4f7c,"A 28-year-old man is evaluated in the primary care office for new onset rash on both legs for 1 week. He is a healthy person with no past medical illness and is not taking any medications. There is no history of recent fever but he has noticed occasional gum bleeding and one episode of nosebleed 4 days ago. He does not smoke, drinks alcohol only socially, and does not use any recreational drug. On physical examination, he is a healthy appearing man with no lymphadenopathy or hepatosplenomegaly. Laboratory studies reveal hemoglobin 14.8 gm/dL, hematocrit 42, MCV 86 fL, leukocyte count 6,000/mL, and platelet 22,000/mL. Liver function and renal function studies are normal. Peripheral smear reveals decrease in platelet count and no red cell abnormalities. What is the most probable diagnosis?","The most probable diagnosis for this patient is immune thrombocytopenic purpura (ITP), a disorder characterized by a decrease in platelets causing bleeding and rash.",1
055dbeb3-89c2-4aaf-b196-b0a836199ffb,"A 3 year old girl with normal developmental milestones except that she staed speaking by the age of four. She does not play with other children and wants to eat, play and sleep in her own way. She often has temper tantrums related to any new changes. What is the likely diagnosis?","The symptoms described could suggest Autism Spectrum Disorder (ASD), but a comprehensive assessment by a medical professional is needed for a confirmed diagnosis.",0.9
001b679a-383e-4fa3-87b6-ffcc0fb63dc7,Baby born to patient suspected of chlamydial infection sample to be taken for diagnosis?,A swab from the baby's eyes is often taken to test for possible chlamydial infection.,0.8
d3d5ad61-ae30-4a0f-b346-03d130cad2e3,"A 30 year old male came with complains of unilateral blurred vision with floaters since 15 days. On examination, AC flare and cells were seen with 'headlight in fog' appearance on indirect ophthalmoscopy. Also, a single inflammatory focus of fluffy retinochoroiditis lesion is seen. What is the diagnosis?","The symptoms indicate a diagnosis of Posterior Uveitis, specifically a subtype known as Pars Planitis.",0
54fc510d-e37c-4bab-b731-f60058bef85d,A 9 months old child is brought to you in the emergency with complaints of cough and coryza since last 2 days. Since last 1 day child is having noisy breathing which increases on crying. On examination you find a stridor which the mother was explaining as noisy breathing. What is your diagnosis?,"The diagnosis could be croup, a common respiratory problem in young children that causes a barking cough and stridor.",1
9d8f095e-62de-4abd-acc7-f6946beeb989,"A patient presenting with history of diarrhoea for several years with recent onset pruritus and raised alkaline phosphatase, normal SGOT/PT and USG shows no gallstones and biliary tract abnormality, the diagnosis is","Based on the symptoms, this could potentially be a case of primary biliary cirrhosis (PBC), but further investigations are needed to confirm.",0.5
08f1557d-a1ac-4424-9b0b-0d5928fd5905,"A 20-year-old woman presents with bilateral conductive deafness, palpable purpura on the legs and hemoptysis. Radiograph of the chest shows a thin-walled cavity in left lower zone. Investigations reveal total leukocyte count 12,000/mm red cell casts in the urine and 12,000/mm serum creatinine 3 ing/dL. What is the most probable diagnosis ?","The most probable diagnosis is Granulomatosis with Polyangiitis (formerly known as Wegener's granulomatosis), an autoimmune disorder affecting small and medium sized vessels and characterized by granulomatous inflammation.",1
e62924b6-baaa-4f0e-924e-5d8a64114e32,"After a leisure trip, a patient comes with gritty pain in eye, and joint pain. What is the most probable diagnosis?","The patient may be suffering from Reactive Arthritis, which can occur after certain bacterial infections, and could include symptoms like eye irritation and joint pain.
",0.8
86ba5921-fef1-4edc-8aa4-13878099ffae,"A 74 yr old male patient was brought to the OPD by his daughter complaining of urinary incontinence and ataxia, also he has difficulty in calculating simple arithemetics and memory loss. What is the probable diagnosis","The symptoms described might indicate a condition known as Normal Pressure Hydrocephalus (NPH), characterized by gait abnormalities, cognitive issues, and urinary incontinence in older adults.",1
98095171-2883-40ae-a76e-a4f498a52ee3,A 45-year-old male with history of recurrent ureteric calculi presented with fever. Right-sided nephrectomy was performed. Gross view and histology have been provided. What is your diagnosis?,"As an AI, I'm unable to physically examine gross view images or histological slides. I suggest discussing these findings directly with a medical professional for an accurate diagnosis.",0.5
8d205524-0254-4768-9a29-6fff52e5482e,12 years male came with swelling of lower end tibia which is surrounded by rim of reactive bone. What is most likely diagnosis?,"The most likely diagnosis for a 12-year-old male presenting with swelling at the lower end of the tibia surrounded by a rim of reactive bone is Osteosarcoma, a type of bone cancer.",0
91a601bc-050f-4287-aad7-7f2a2a4c5b49,"A young female presents with history of dyspnoea on exeion. On examination, she has wide, fixed split S2 with ejection systolic murmur (IIINI) in left second intercostal space. Her ECG shows left axis detion. The most probable diagnosis is ?",The most probable diagnosis is Atrial Septal Defect (ASD).,0.5
4088a7e1-ae95-47b4-a20f-9183f4c300c5,What is the most common surgical complication following whipple procedure ?,"The most common surgical complication following a Whipple procedure is delayed gastric emptying, where the stomach takes too long to empty its contents.",0.5
a7838452-37fb-492a-87bd-93b72fb2b693,A 6 year old boy presenting with palpable abdominal mass in the epigastrium. The clinical diagnosis is (There is no bile in vomitus)-,"The clinical diagnosis could be Wilm's tumor, a type of kidney cancer that is common in children.",0
daea0b5f-6755-4d65-8e47-4312cbb29729,"In addition to the effects of weight loss, the resolution of type 2 diabetes mellitus after the gastric sleeve procedure and RYGB is thought to be contributed to by ?",Improvements in insulin sensitivity and changes in gut hormones are thought to contribute to the resolution of type 2 diabetes after gastric sleeve and RYGB procedures.,0.8
021d259d-7309-4213-a626-997613439732,"20 years old female from Bihar with erythematous lesion on cheek with central crusting, likely diagnosis:","The described features like erythematous lesion on cheek with central crusting may suggest the likelihood of Basal Cell Carcinoma. However, final diagnosis should be confirmed by a medical professional after a thorough examination and possibly biopsy.",0.4
6c9d5ab6-0b9b-4d2c-98ed-3d9ca1f55036,"After repeated infections manifested by cough, fever, and consolidation in lungs, the diagnosis of intralobar sequestration was established for a child. Sequestration of lung is seen MOST commonly in?",Sequestration of the lung is most commonly seen in the left lower lobe.,0.5
9f08fb1f-67fb-46fa-8d12-7c97213fe2c1,"A 20-year-old female presents with excess facial hair and oligomenorrhea, increased levels of free testosterone, and normal ovaries on USG. Most likely diagnosis is:","The most likely diagnosis is Polycystic Ovary Syndrome (PCOS), despite the normal appearance of the ovaries on ultrasound.",0.9
d20181aa-c211-4260-8bf2-94421a4ba74f,A 17 years male presented with swelling in the cheek with recurrent epistaxis. Most likely diagnosis is,"The most likely diagnosis could be Juvenile Nasopharyngeal Angiofibroma (JNA), a benign tumor that often presents in adolescent males with symptoms of facial swelling and recurrent nosebleeds (epistaxis). 
",1
81f94fe0-576f-491a-945b-35c2fc9008de,What is the ideal treatment for a 55 yr female with Simple Hyperplasia of endometrium with Atypia?,"A 55-year-old female with Simple Hyperplasia of the endometrium with Atypia is usually recommended to undergo a hysterectomy, as there is considerable risk of progression to endometrial cancer in this condition.",1
f6dea44b-fd89-4db3-84c2-d2500a2a59b0,A child presents with sho episodes of vacant stare several times a day. The vacant episode begins abruptly and the child remains unresponsive during the episode. There is no associated history of aura or postictal confusion and the child is otherwise normal. The likely diagnosis is,The child likely has absence seizures (formerly known as petit mal seizures).,1
