id,question,cop,opa,opb,opc,opd
71723e91-54e3-4c7c-81d8-270e0a9b0522,"For each extra-articular manifestation of RA, select the most likely diagnosis.Associated with increased frequency of infections.",0,Felty syndrome,rheumatoid vasculitis,episcleritis,Sjogren syndrome
6afce37d-3655-49cd-bc4f-a317e1eef7b2,Dental procedures for which antibiotic of choice for the prophylaxis of endocarditis in adults is (Note: Patient is allergic to penicillin and he is not able to take oral medicine):,3,Clarithromycin 500mg 1 hr. before dental procedures,Cephalexin 2g 1 hour before dental procedures,Cefadroxil 2g 1 hour before dental procedures,Clindamycin 600 mg. 30 min. before dental procedures
012fcc39-b037-46f3-8a0e-1dfe556a6165,A six year old male baby presents to a hospital with recurrent gross hematuria for 2 years. There is no h/o burning micturition or pyuria. Urine routine examination demonstrated no pus cells and urine culture was sterile. Serum C3 levels were normal. What is the most probable diagnosis-,0,Wilm's tumour,IgA nephropathy,Post-streptococcal glomerulonephritis,Urinaiy tract infection
c8985d5b-5424-40f6-b3bb-d20b9ac4800d,"A 52 year old male presents to his physician with a chief complaint of a substantial increase in the size of his breasts over the past few months. Three months ago he was diagnosed with hypeension, and placed on antihypeensive medication. Which of the following medications was most likely prescribed?",3,Captopril,Furosemide,Hydrochlorothiazide,Spironolactone
9d193952-cd22-4aab-a77e-c28dbfa697ea,A patient present with lower gastrointestinal bleed. Sigmoidoscopy shows ulcers inthe sigmoid. Biopsy from this area shows flask-shaped ulcers. Which of the following is the most appropriate treatment -,1,Intravenous ceftriaxone,Intravenous metronidazole,Intravenous steroids and sulphasalazine,Hydrocoisone enemas
400e6742-bacc-4a9c-a429-59663de48fe7,"Lalita, a female pt. presents with pigmentation of the lips and oral mucosa and intestinal polyps. Her sister also gives the same history. Most probable diagnosis is -",3,Carcinoid tumor,Melanoma,Villous adenoma,Peutz-Jegher syndrome
43746273-1b76-4c58-97ac-7de0af6fdab0,"A 1-year-old boy presents with a delay in motor development. Progressive muscle weakness and blindness ensue, and the patient dies within a year. The brain at autopsy shows swollen neurons that contain numerous lysosomes filled with lipid. Which of the following is the most likely diagnosis?",3,AL amyloidosis,Hurler syndrome,Phenylketonuria,Tay-Sachs disease
5fb4705e-3b44-41da-ad08-25688404bdab,"A 70 - year- old man was administered penicilline intravenously. Within 5 minutes, he developed genralised urticaria, swelling of lips, hypotension and bronchospasm. The first choice of treatment is to administer:",1,chlorphenitramine inj.,Epinephrine inj.,High dose hydrocortisone tablet,nebulised salbutamol
70e492ea-3cbe-4dbb-a180-fc3bdd1df593,"A child with three days history of upper respiratory tract infection presents with stridor, which decreases on lying down postion. What is the most probable diagnosis -",1,Acute Epiglottitis,Laryngotracheobronchitis,Foreign body aspiration,Retropharyngeal abscess
9f1744a7-19f6-4169-8465-c6a816133865,A patient presents with unconjugated hyperbilirubinemia and presence of urobilinogen in urine. Which amongst the following is the least likely diagnosis -,3,Hemolytic jaundice,Crigler Najjar syndrome,Gilbert's syndrome,Dubin Johnson syndrome
805e7f24-2c61-4783-92de-e8757acfc270,"A 38 year old male has paroxysmal hypeension. He is subsequently found to have medullary carcinoma of the thyroid, pheochromocytoma, and mucosal neuromas. Parathyroid involvement is not noted. What is the most likely diagnosis?",2,MEN type I,MEN type II,MEN type III,Sipple's syndrome
59165dbb-66fe-4ccd-bd9f-26c60ca3c161,"A female, Lalita, aged 26 yrs accidentally takes 100 tablets of paracetamol. What is the treatment of choice -",3,Lavage with charcoal,Dialysis,Alkaline diuresis,Acetylcysteine
b89a8870-4b04-40a5-b61c-08b2f20f955a,Abdominal ultra-sonography in a 3 year old boy show a solid circumscribed hypoechnoic renal mass. Most likely diagnosis is -,0,Wilm's tumor,Renal cell carcinoma,Mesoblastic nephroma,Oncocytoma
a227a262-f152-49e8-a5ea-cde7ea09eb7c,"A child has mid-crown fracture in a permanent
maxillary central incisor several months ago, the pulp is now necrotic, radiographic examination reveals an incompletely formed root with an open apex. The treatment of choice is:",3,Formocresol pulpotomy,Root canal therapy,Calcium hydroxide pulpotomy,Apexification
aaa09f14-d097-401e-a543-a9a9e4fa9a7d,A patient was diagnosed with schizophrenia and was staed on haloperidol 5mg. On 3rd day he presented with uprolling of eyes. A complete neurological examination revealed no spasticity or any other abnormalities except uprolling of eyeballs. Visual acuity was found to be normal. What is your likely diagnosis?,1,Seizure,Acute dystonia,Malingering,Akathesia
324bcd12-a946-43cc-8081-ddd693151c9c,A patient presents with erythematous scaly lesions on extensor aspect of elbows and knee. The clinical diagnosis is got by :,0,Auspitz sign,KOH smear,Tzanck smear,Skin biopsy
92f241b1-5dd7-4309-be7d-575987eb3c07,"A young male presents with ear discharge since three years; recently developed swelling in the neck below and behind the angle of mandible, toicollis; on the examination, the external auditory canal was filled with granulation tissue. What is the diagnosis?",2,Luc's abscess,Citelli's abscess,Bezold's abscess,Parapharyngeal abscess
805f167d-13ad-4949-9267-1ebce3a48a9f,A 26 years old G2P1L1 at 10 weeks complains of pain abdomen and bleeding per vaginum. On examination products of conception are seen paially extruding through the cervix. What is your diagnosis?,3,Inevitable aboion,Threatened aboion,Complete aboion,Incomplete aboion
9ec100e0-c6b0-4164-b3c6-a2685e2a4cd3,"A 4-month-old infant has undergone surgical treatment for meningomyeloencephalocele. At bih, an operation was carried out in the posterior cranial fossa to paially replace brain cerebellar contents to an intracranial position. In investigations for progressive hydrocephalus, it is noted that there is herniation of the cerebellar tonsils through the foramen magnum, and a diagnosis of Arnold-Chiari syndrome is established. This syndrome may also include which of the following?",2,Fusion of the frontal lobes,"Fusion of the temporal, parietal, and occipital lobes",Abnormal elongation of the medulla and lower cranial nerves,Paial or complete absence of the pituitary gland
4fe38f45-7890-4319-8d84-a35d72845b11,"A 7 year old child with rheumatic heart disease presents with pallor, fever and a palpable spleen. The following investigations would be needed to arrive at a diagnosis except –",0,Electrocardiogram,Echocardiogram,Blood culture,Urine examination
7e6dd171-f659-4be9-9d53-6fb8ebf8f71c,25 years old female has palatal ulcer and skin blister most likely diagnosis is –,0,Pemphigus vulgaris,Pemphigus foliaceous,Dermatitis herpetiformis,Pemphigoid
28e73efe-c768-4be7-ad94-d0f3fad85a48,Congo red staining of abdominal fat has confirmed a diagnosis of Amyloidosis in a 28-year-old man. Which is the most common cause of death in primary AL Amylodosis?,1,Respiratory failure,Cardiac failure,Renal failure,Septicemia
b4499541-3fb7-497d-8ddb-1a01b7070556,2-year-old child presents with sho stature and cafe-au lait spots. Bone marrow aspiration yields a little material and mostly containing fat. What is your diagnosis:,0,Fanconi anemia,Dyskeratosis congenita,Tuberous sclerosis,Osteogenesis imperfecta
2c676972-bd4f-4a3c-b082-2af34b86c74c,"A 30 year old female patient complains of painless hard anterior neck mass. FNAC was inconclusive. Open thyroid biopsy was performed which revealed the  ﬁbrous nature of the mass, woody, non tender thyroid, mimicking carcinoma is  observed.  The diagnosis points towards",1,De Quervain's thyroiditis,Riedel's thyroiditis,Hashimoto’s thyroiditis,None of the above
b51cbca7-30ed-4bf0-8394-7f631badc598,"An elderly woman suffering from schizophrenia is on antipsychotic medication. She developed purposeless involuntary facial and limb movements, constant chewing and puffing of cheeks. Which of the following drugs is least likely to be involved in this side effect -",1,Haloperidol,Clozapine,Fluphenazine,Loxapine
7d05f799-cfba-4563-a9cf-94e242e445e8,A patient presents with diarrhoea. analysis of stool on wet mount shows mobile protozoa without RBCs and pus cells. The diagnosis is -,1,Balantidium coil,Giardiasis,Trichomonas hominis,Entamoeba histolytica
ae75432e-33e2-49bf-9b11-f13effe588b5,"A clinical study involves patients diagnosed with carcinoma whose tumor stage is T4N1M1. The patients' survival rate 5 years from the time of diagnosis is less than 50%, regardless of therapy. Which of the following clinical findings is most likely to be characteristic of this group of patients?",0,Cachexia,Cardiac murmur,Icterus,Loss of sensation
5042da44-cdf1-4bd1-943c-8213d3155fef,A man coming from a mountain whose wife died 6 months prior says that his wife appeared to him and asked him to join her. The diagnosis is,1,Normal grief,Grief psychosis,Bereavement reaction,Supernatural phenomenon
6ced785b-413c-4df8-8ce8-aa579c6d9521,What is the treatment of threshold ROP?,0,laser photocoagulation,slow reduction in oxygen,retinal reattachment,antioxidants
d45904aa-fb66-473e-9f80-037a0932d06e,The gold standard for the definitive diagnosis of the extrahepatic biliary atresia is,3,Per operative cholangiography,Hepatobiliary scintigraphy,Alkaline phosphatase level,Liver biopsy
01fd7d4a-cb59-4712-ac88-cecf75b5357a,Chandu 32 years male presents with abdominal pain and vomitting. He also complain of some psychiatric symptoms & visual hallucination. Most likely diagnosis is,3,Hypothyroidism,Hypehyroidism,Hysteria,Intermittent Porphyria
039cc18f-f538-49d4-bd6a-a8e7028cf7a7,"A child with vesicoureteric reflex of grade 2 comes to OPD. What is the
preferred treatment method",0,Antibiotics,Observation,Sting operation,Ureteric reimplantation
1abd9ca7-7e2d-4c0e-9232-2324a9d45711,"patient has decreased weight, need for thinness, the diagnosis is",1,refeeding syndrome,anorexia nervosa,metabolic syndrome,bulimia nervosa
94a3ee08-9f21-42c0-81ce-6168af594e82,"A 47-year-old woman is admitted to the hospital with signs of cavernous sinus thrombosis. Radiographic examination reveals a pituitary tumor involving the cavernous sinus, confirming the initial diagnosis. During physical examination it is suspected that the right abducens nerve of the patient has been damaged by the tumor. In which direction will the physician most likely ask the patient to turn her right eye to confirm the abducens nerve damage, assuming she is unable to perform this task?",1,Inward,Outward,Downward,Down and out
e08a75ac-3fb1-4ca9-a24c-d6798f56a3f0,"A 20 year female presents with a ovarian mass 6x 6 x 6cm in size. Ultrasonography reveals solid structures in the mass. Her serum biomarkers such as AFP. fO-hCG and CA 125 are normal, however, her serum alkaline phosphatase was found to be elevated. The most likely diagnosis is",0,Dysgerminoma,Endodermal sinus tumor,Malignant teratoma,Mucinous cystadenocarcinoma
81e801d1-39cc-4d64-ab64-10619c171673,An eleven year old boy is having tinea capitis on his scalp. The most appropriate line of treatment is –,0,Oral griseofulvin therapy,Topical griseofulvin therapy,Shaving of the scalp,Selenium sulphide shampoo
c2c522e9-595e-4327-a763-7eb93c7fcb88,"A 68-year-old male is brought to the outpatient by his wife due to increasing forgetfulness. On taking history in details, wife repoed that for around 6 months patient is having trouble in organising the finances and paying bills, something he has done all his life. He has also become withdrawn and has decreased meeting people. The patient also behaved inappropriately with a female neighbour couple of says back, which is much against his usual nature. The patient denies having any problems and seems indifferent to his wife's concern. He has a medical history of hypeension and type 2 diabetes mellitus There is a family history of Alzheimer disease. On MMSE, score came out to be 23. Which of the following is the most likely diagnosis?",3,Alzheimer disease,Creutzfeldt-Jakob disease,Dementia with Lewy bodies,Frontotemporal dementia
f9265d72-9be4-4de6-b409-52cd81663674,A 22 year old man had a Beef sandwich and Potato salad. He Vomited 2 hours after the meal. What is the probable diagnosis,0,S. aureus poisoning,Bacillus cereus poisoning,Clostridial poisonong,Helicobacter pylori poisoning
f6d8a925-07c5-4d4c-88d2-ff9d41d960a5,"A 64-year-old lady Kamla complains of severe unilateral headache on the right side and blindness for 2 days. On examination, there is a thick cord-like structure on the lateral side of the head. The ESR is 80 mm / hr. in the first hour. The most likely diagnosis is :",0,Temporal arteritis,A migraine,Cluster headache,Sinusitis
7ac42fa7-9a7a-46be-b64b-b43571966437,"A patient presents with Hb of 8 gm%, WBC count of 2000/mm3 and platlet count of 60000/mm3. What is your likely diagnosis ?",2,Thalassemia,Sickle cell anemia,Aplastic anemia,Anemia of chronic disease
56bd9fb1-3392-4ec9-839c-0c1263e9aa88,"A patient repoed with a history of fall on an outstretched hand, complains of pain in the anatomical snuffbox and clinically no deformities visible. The diagnosis is:",3,Colles' fracture,Lunate dislocation,Baon's fracture,Scaphoid fracture
dafad5d1-ec83-4570-a212-ddaa563e732f,"A 43-year-old man presents with signs and symptoms of peritonitis in the right lower quadrant. The clinical impression and supportive data suggest acute appendicitis. At exploration, however, a tumor is found; frozen section suggests carcinoid features. For each tumor described, choose the most appropriate surgical procedure. A 2. 5-cm tumor at the base of the appendix (SELECT 1 PROCEDURE)",3,Appendectomy,Segmental ileal resection,Cecectomy,Right hemicolectomy
50aa4b96-c396-4f83-9f80-06d48747e5d6,A 7-year-old boy has severe microcytic anemia due to beta-thalassemia major (homozygous). He requires frequent blood transfusions (once every 6 weeks) to prevent the skeletal and developmental complications of thalassemia. Which of the following medications is also indicated in the treatment of patients requiring frequent blood transfusions?,2,oral calcium supplements,fresh frozen plasma (FFP),desferrioxamine,penicillamine
36f7e19c-fc3e-4c88-a114-c2389d1ec279,A 30-year-old women presents a history of amenorrhoea and impaired vision of six month's duration. Physical examination shows everything except for pale optic discs and diminished visual acuity. The most likely diagnosis is -,0,Pituitary adenoma,Craniopharyngioma,Hypothalamic glioma,Benign intracranial hypertension
9098c2de-0c09-4332-b14c-04bb60bcafd8,"Lallu a 22 yrs. old male suffers from decreased sleep, increased sexual activity, excitement and spending excessive money for last 8 days. The diagnosis is-",1,Confusion,Mania,Hyperactivity,Loss of memory
0921441e-f890-4483-9124-d73958608213,What is the most likely diagnosis in this 50-year-old woman?,0,Metastasis,Onychomycosis,Psoriasis,Thromboangiitis obliterans
b3809ff9-ba9a-4aa0-a8b0-d11acaf1e6c9,"A 41-year-old male patient presented with recurrent episodes of bloody diarrhoea for 5 years. Despite regular treatment with adequate doses of sulfasalazine, he has had several exacerbations of his disease and required several weeks of steroids for the control for flares. What should be the next line of treatment for him?",1,Methotrexate,Azathioprine,Cyclosporine,Cyclophosphamide
404ff199-6c04-4e7a-a59c-60162a7ecf07,A 25 yr old lady develops brown macular lesions over the bridge of nose and cheeks following exposure to sunlight. What is the most probable diagnosis?,0,Chloasma,Photodermatitis,SLE,Acne rosacea
b326349f-be05-4904-ad6e-b661620f54e8,A 65yr old male with his of Diabetes and HTN presents Ito OPD with complaints of diplopia and squint on examination secondary detion is seen to be more than primary detion Which of the following is the most probable diagnosis,0,Paralytic squint,Incomitant squint,Restrictive squint,Pseudo squint
1cd6d32e-78c4-4549-b4df-93edb57a3d59,"A 7-year-old boy, Manoj underwent successful chemotherapy and cranial radiation for the treatment of acute lymphocytic leukemia. One month after the completion of therapy, the patient presented with excessive thirst and urination plus hypernatremia. Laboratory testing revealed pituitary diabetes insipidus. To corect these problems, this patient is likely to be treated with:",1,Coicotropin,Desmopressin,hCG,Menotropins
5aa04ff1-94e0-42c0-b4d6-5f8b444cbb2e,A 33-yr old man presented with a slowly progressive swelling in the middle 113d of his right tibia. X-rays examination revealed multiple sharply demarcated radiolucent lesions separated by areas of dense and sclerotic bone. Microscopic examination of a biopsy specimen revealed island of epithelial cells in a fibrous stroma. Which of the following is the most probable diagnosis?,0,Adamantinoma,Osteofibrous dysplasia,Osteosarcoma,Fibrous coical defect
eeebfc32-6319-4485-9c8a-fe4c50d02283,"A young patient presented with sudden painless loss of vision with systolic murmur over chest, ocular examination reveals - cherry red spot in macula with clear AC, with perception of light, diagnosis:",0,Central retinal aery occlusion,Central retinal vein occlusion,Macular choroiditis with infective endocarditis,Central serous retinopathy
7333d4bc-9de9-4a9d-84d9-c1ee69b5e2b8,"Eleven years after undergoing right modified radical mastectomy, a 61-year-old woman develops raised red and purple nodules over the right arm. What is the most likely diagnosis?",2,Lymphangitis,Lymphedema,Lymphangiosarcoma,Hyperkeratosis
ca4e14a3-f179-4f48-b96b-28a35eeccc0b,"A patient with leukemia on chemotherapy develops acute right lower abdominal pain associated with anemia, thrombocytopenia and leukopenia. Which of following is the clinical diagnosis -",3,Appendicitis,Leukemic colitis,Perforation peritonitis,Neutropenic colitis
b1633061-085e-49ae-9488-12e39b81c05b,"40 year old male with sputum AFB +ve,complains of Hoarseness of voice and painful swallowing on examination vocal cord shows mamillated adenoids and hyperaemia the most likely diagnosis is",2,Rinke's edema,Epiglottitis,TB larynx,Cancer of larynx
0658ba44-7b65-4e71-b439-95653608ddd2,What is the probable diagnosis in a patient with a dilated pupil not responsive to 1% pilocarpine,3,Diabetic third nerve palsy,Ade's pupil,Uncal Herniation,Pharmacological block
6b6f4c68-54e2-4ddc-9957-d9375d57a913,"A young girl has had repeated infections with Candida albicans and respiratory viruses since she was 3 months old. As part of the clinical evaluation of her immune status, her responses to routine immunization procedures should be tested. In this evaluation, the use of which of the following vaccines is contraindicated?",0,Bacillus Calmette-Guerin (BCG),Bordetella pertussis vaccine,Diphtheria toxoid,Inactivated polio
f3770695-0125-42de-ab37-8e18b7002314,"A male was brought unconscious to the hospital with external injuries. CT shows no midline shift, but basal cisterns were full (compressed) with multiple small haemorrhage. The most probable diagnosis is:",1,Brain contusion,Diffuse axonal injury,Subdural hemorrhage,Multiple infarct
76ee4517-2f17-4c9a-90bf-901f14682d41,A 67 yr male with history of chronic smoking hemoptysis with cough. Bronchoscopic biopsy from centrally located mass shows undifferentiated tumor histopathologically. Most useful I.H.C. (immunohistochemical) marker to make a proper diagnosis would be:,0,Cytokeratin,Parvalbumin,HMB-45,Hep-par1
f8d1aab7-88d9-4a6a-982d-8f8ad20ddd8a,"A 33-year-old male immigrant from Taiwan presents with increasing right upper quadrant (RUQ) pain. The pain is dull, and it does not radiate or change with eating. On examination the abdomen is soft, there is a mass in the RUQ, and no ascites is clinically detected. He has a prior history of hepatitis B. His laboratory investigations reveal hepatitis B surface antigen (HBsAg) positive, hepatitis B surface antibody (HBsAb) negative, aspartate amino transferase (AST) 60 U/L, alanine amino transferase (ALT) 72 U/L, and an elevated alpha-fetoprotein level. Which of the following is the most likely diagnosis?",1,hepatoma,hepatocellular carcinoma (HCC),metastatic cancer,hepatic hemangioma
dfe3c09d-5b5e-41a9-be50-cb272175c9e6,A 40 year old presenting with dizziness on standing with systolic reduction of BP of 50mm Hg; appropriate treatment,0,Graded compression stockings,Salbutamol,Fludrocoisone,b-blockers
6825a23d-8f16-4e4c-8c06-7130affb99e0,"A 50 year old with history of jaundice in the past has presented with right upper quadrant abdominal pain. Examination and investigations reveal chronic calculous cholecystitis. The liver functions tests are within normal limits and on ultrasound examination, the common bile ducts is not dilated. Which of the following will be the procedure of choice?",0,Laparoscopic cholecystectomy,Open choledocholithotomy followed by laparoscopic cholecystectomy,ERCP + choledocholithotomy followed by Laparoscopic cholecystectomy,Laparoscopic cholecystectomy followed by ERCP + choledocholithotomy
38b99eb5-0ca1-4025-a359-45dfb85913a3,"A man presented with persistent ear pain and discharge, retro-orbital pain and modified radical mastoidectomy was done to him. Patient comes back with persistent discharge, what is your diagnosis?",2,Diffuse serous labyrinthitis,Purulent labyrinthitis,Petrositis,Latent mastoiditis
bdcb31fe-c6de-4120-ae58-4eecc6e8888c,"A 5-year-old girl is brought to the physician after her parents noticed red blood in her stool. Physical examination reveals mucocutaneous pigmentation. Small bowel radiography discloses multiple, small- to medium-sized polyps that are diagnosed pathologically as hamartomas. Which of the following is the most likely diagnosis?",2,Congenital teratoma,Hyperplastic polyp,Peutz-Jeghers polyp,Tubular adenoma
36a78af0-82a3-4d63-9dbf-b8c057217e7c,"A 35-year-old woman, on hemodialysis for chronic renal disease, complains of pain in the hands. On examination, the joints are normal with no inflammation or tenderness on palpation. Lab values reveal a low calcium, high phosphate, and high PTH level. What is the most likely diagnosis? (See Figure below.)",2,scleroderma,gout,secondary hyperparathyroidism,pseudogout
df63e2e9-3cae-4be2-9699-29e945035e02,"A 45-year old male presented with severe respiratory distress. O/E he had pedal edema, bilateral crepitation on auscultation. He was admitted to emergency department and expired 2 days of admission. Lung biopsy done suggested the following. What is your diagnosis?",3,CMV pneumonitis,Small cell Ca lung,Tuberculosis,Heart failure cells
c3073526-26e4-4552-9050-a08cfd2af1d4,"A 30-year-old woman sustained a traumatic blow to her right breast. Initially, there was a 3-cm contusion beneath the skin that resolved within 3 weeks, but she then felt a firm, painless lump that persisted below the site of the bruise 1 month later. What is the most likely diagnosis for this lump?",1,Abscess,Fat necrosis,Fibroadenoma,Inflammatory carcinoma
67b9dd5a-cc76-4ca3-b129-4b2a9dc05a4c,All of the following drugs are useful in the treatment of a patient with acute bronchial asthma except,2,Ipratropium,Salbutamol,Montelukast,Hydrocortisone
33e7cae5-5277-43b0-8a2b-1f9ef1355d87,"A two-year-old child presents with persistent diarrhea, acidic stools and presence of one percent of reducing substance in the fresh stools. What is the most probable diagnosis?",1,Cystic fibrosis,Lactose intolerance,Rotavirus induced diarrhea,Intestinal tuberculosis
5820af2b-4075-4cb0-8ef7-d868f487391f,"A 6 year old female patient complains of pain due to a decayed lower right 2nd molar. During the treatment, patient becomes uncooperative and throws a tantrum. The dentist then asks the mother to step out of the operatory, after which the child begins to cooperate. The example demonstrated by the dentist falls under which type of conditioning, as described by Skinner?",2,Positive reinforcement,Negative reinforcement,Omission,Punishment
1dbdf7c2-95d8-41a0-9d5d-641e2666be8e,"A 20 year old boy c/o hearing of voices, aggressive behavior since 2 days. He has fever since 2 days. When asked to his family, they says that he has been muttering to self and gesticulating. There is no h/o of psychiatric illness. Likely diagnosis is",1,Dementia,Acute psychosis,Delirium,Delusional disorder
ca582da5-7d80-4d47-b237-ba7288ff469e,"60 yrs old, air in biliary tree, colicky abdominal pain hyper-peristaltic abdominal sounds diagnosis -",0,Gall stone ileus,Hemobilia,Cholangitis,Pneumobilia
f31d9293-31b1-4fc3-9af1-70735f827e4c,"During the following procedure, optimum interval between uterine incision and delivery should be less than ______ seconds.",3,30 seconds,45 seconds,60 seconds,90 seconds
9dbfe50d-9f1b-40f7-9d22-086482e85b07,"A child is taken to a pediatrician because his mother notices that his eyes appear very puffy. The mother said that the boy's eyes appeared normal two days ago, and pa of what caused her concern was that her child seemed to be rapidly becoming ill. On physical examination, the boy is noted to have generalized edema. No hypeension or jaundice is noted. Blood urea nitrogen and serum creatinine are within normal limits. A urine sample is collected, and the nurse notices that the top of the urine has a small amount of foam at the top. Urinalysis is negative for glucose, red cells, white cells, casts, crystals, and bacteria. A 24-hr-urine specimen is collected, which demonstrates proteinuria of 55 mg/h/m2. Which of the following is the most likely diagnosis?",3,Acute renal failure,Chronic renal failure,Lower urinary tract disease,Nephrotic syndrome
